V,s,V_norm,ICa_true,ICa_nn
-69.70876254625355,0.011607316445304631,-0.6970876254625356,-0.051118845398432,1.2180686718014369
-69.70876254625355,0.015317628322315471,-0.6970876254625356,-0.08902263428522926,1.2067603119561814
-69.70876254625355,0.01902794019932631,-0.6970876254625356,-0.13737286080108507,1.1908498667084833
-69.70876254625355,0.02273825207633715,-0.6970876254625356,-0.19616952494599948,1.1697025897922022
-69.70876254625355,0.02644856395334799,-0.6970876254625356,-0.2654126267199725,1.142612612129191
-69.70876254625355,0.03015887583035883,-0.6970876254625356,-0.34510216612300415,1.1087978529814655
-69.70876254625355,0.03386918770736967,-0.6970876254625356,-0.4352381431550944,1.0673954945250457
-69.70876254625355,0.03757949958438051,-0.6970876254625356,-0.5358205578162432,1.0174583964980743
-69.70876254625355,0.04128981146139135,-0.6970876254625356,-0.6468494101064506,0.9579529289628099
-69.70876254625355,0.04500012333840219,-0.6970876254625356,-0.7683247000257165,0.8877588142249446
-69.70876254625355,0.04871043521541303,-0.6970876254625356,-0.900246427574041,0.8056716885086206
-69.70876254625355,0.05242074709242387,-0.6970876254625356,-1.042614592751424,0.7104092110513212
-69.70876254625355,0.05613105896943471,-0.6970876254625356,-1.195429195557866,0.6006216485702542
-69.70876254625355,0.05984137084644555,-0.6970876254625356,-1.3586902359933661,0.47490792581742136
-69.70876254625355,0.06355168272345639,-0.6970876254625356,-1.532397714057925,0.33183813020738606
-69.70876254625355,0.06726199460046722,-0.6970876254625356,-1.7165516297515422,0.1699833552607637
-69.70876254625355,0.07097230647747807,-0.6970876254625356,-1.9111519830742183,-0.012046476258560812
-69.70876254625355,0.0746826183544889,-0.6970876254625356,-2.116198774025953,-0.215556593789191
-69.70876254625355,0.07839293023149975,-0.6970876254625356,-2.3316920026067463,-0.44171358894537205
-69.70876254625355,0.08210324210851058,-0.6970876254625356,-2.557631668816598,-0.6914851461153897
-69.70876254625355,0.08581355398552143,-0.6970876254625356,-2.7940177726555087,-0.9655756621659459
-69.70876254625355,0.08952386586253226,-0.6970876254625356,-3.0408503141234773,-1.2643613380371765
-69.70876254625355,0.09323417773954311,-0.6970876254625356,-3.2981292932205046,-1.5878295446604649
-69.70876254625355,0.09694448961655394,-0.6970876254625356,-3.5658547099465907,-1.9355282936518061
-69.70876254625355,0.10065480149356479,-0.6970876254625356,-3.8440265643017355,-2.3065322334405667
-69.70876254625355,0.10436511337057562,-0.6970876254625356,-4.132644856285939,-2.699431486239241
