V,s,V_norm,ICa_true,ICa_nn
-69.70876254625355,0.011607316445304631,-0.6970876254625356,-0.051118845398432,-0.5306476879087754
-69.70876254625355,0.015317628322315471,-0.6970876254625356,-0.08902263428522926,-0.6635948046530451
-69.70876254625355,0.01902794019932631,-0.6970876254625356,-0.13737286080108507,-0.7944530851843645
-69.70876254625355,0.02273825207633715,-0.6970876254625356,-0.19616952494599948,-0.9220784728136082
-69.70876254625355,0.02644856395334799,-0.6970876254625356,-0.2654126267199725,-1.0453156284368508
-69.70876254625355,0.03015887583035883,-0.6970876254625356,-0.34510216612300415,-1.1630975342133727
-69.70876254625355,0.03386918770736967,-0.6970876254625356,-0.4352381431550944,-1.2745824453767876
-69.70876254625355,0.03757949958438051,-0.6970876254625356,-0.5358205578162432,-1.3793243772209494
-69.70876254625355,0.04128981146139135,-0.6970876254625356,-0.6468494101064506,-1.477462341361181
-69.70876254625355,0.04500012333840219,-0.6970876254625356,-0.7683247000257165,-1.5698997419717562
-69.70876254625355,0.04871043521541303,-0.6970876254625356,-0.900246427574041,-1.658432551673778
-69.70876254625355,0.05242074709242387,-0.6970876254625356,-1.042614592751424,-1.7457795266771352
-69.70876254625355,0.05613105896943471,-0.6970876254625356,-1.195429195557866,-1.8354766837340404
-69.70876254625355,0.05984137084644555,-0.6970876254625356,-1.3586902359933661,-1.9316246522078493
-69.70876254625355,0.06355168272345639,-0.6970876254625356,-1.532397714057925,-2.0385163225471095
-69.70876254625355,0.06726199460046722,-0.6970876254625356,-1.7165516297515422,-2.1602097730140364
-69.70876254625355,0.07097230647747807,-0.6970876254625356,-1.9111519830742183,-2.3001312023329255
-69.70876254625355,0.0746826183544889,-0.6970876254625356,-2.116198774025953,-2.460784638576331
-69.70876254625355,0.07839293023149975,-0.6970876254625356,-2.3316920026067463,-2.64361285940238
-69.70876254625355,0.08210324210851058,-0.6970876254625356,-2.557631668816598,-2.849011847437377
-69.70876254625355,0.08581355398552143,-0.6970876254625356,-2.7940177726555087,-3.076466156170827
-69.70876254625355,0.08952386586253226,-0.6970876254625356,-3.0408503141234773,-3.324755093615292
-69.70876254625355,0.09323417773954311,-0.6970876254625356,-3.2981292932205046,-3.5921801985018
-69.70876254625355,0.09694448961655394,-0.6970876254625356,-3.5658547099465907,-3.876776810116975
-69.70876254625355,0.10065480149356479,-0.6970876254625356,-3.8440265643017355,-4.176488689868618
-69.70876254625355,0.10436511337057562,-0.6970876254625356,-4.132644856285939,-4.489298813551288
-69.70876254625355,0.10807542524758647,-0.6970876254625356,-4.431709585899202,-4.813319017928677
-69.70876254625355,0.1117857371245973,-0.6970876254625356,-4.741220753141521,-5.146846071646815
-69.70876254625355,0.11549604900160815,-0.6970876254625356,-5.0611783580129,-5.488393120832076
-69.70876254625355,0.11920636087861898,-0.6970876254625356,-5.391582400513338,-5.836704755403344
-69.70876254625355,0.12291667275562983,-0.6970876254625356,-5.732432880642834,-6.1907623030181185
-69.70876254625355,0.12662698463264066,-0.6970876254625356,-6.083729798401389,-6.5497841203969
-69.70876254625355,0.1303372965096515,-0.6970876254625356,-6.445473153789003,-6.913223995381939
-69.70876254625355,0.13404760838666235,-0.6970876254625356,-6.817662946805675,-7.2807694340245614
-69.70876254625355,0.13775792026367317,-0.6970876254625356,-7.200299177451404,-7.652340585760603
-69.70876254625355,0.14146823214068402,-0.6970876254625356,-7.593381845726195,-8.02808979570435
-69.70876254625355,0.14517854401769487,-0.6970876254625356,-7.996910951630042,-8.408401189502301
-69.70876254625355,0.1488888558947057,-0.6970876254625356,-8.410886495162949,-8.79388922418842
-69.70876254625355,0.15259916777171653,-0.6970876254625356,-8.835308476324911,-9.185394729330365
-69.70876254625355,0.15630947964872738,-0.6970876254625356,-9.270176895115936,-9.583976594706256
-69.70876254625355,0.16001979152573823,-0.6970876254625356,-9.71549175153602,-9.990896944392151
-69.70876254625355,0.16373010340274907,-0.6970876254625356,-10.17125304558516,-10.407597420426884
-69.70876254625355,0.1674404152797599,-0.6970876254625356,-10.637460777263357,-10.835664171091729
-69.70876254625355,0.17115072715677074,-0.6970876254625356,-11.114114946570615,-11.276779427908677
-69.70876254625355,0.17486103903378158,-0.6970876254625356,-11.601215553506934,-11.732658317921443
-69.70876254625355,0.17857135091079243,-0.6970876254625356,-12.098762598072309,-12.20497094724639
-69.70876254625355,0.18228166278780325,-0.6970876254625356,-12.606756080266742,-12.695251904530155
-69.70876254625355,0.1859919746648141,-0.6970876254625356,-13.125196000090233,-13.204802128338233
-69.70876254625355,0.18970228654182494,-0.6970876254625356,-13.654082357542785,-13.734591291981957
-69.70876254625355,0.1934125984188358,-0.6970876254625356,-14.193415152624397,-14.285171915121467
-69.70876254625355,0.1971229102958466,-0.6970876254625356,-14.74319438533506,-14.85661844804913
-69.70876254625355,0.20083322217285746,-0.6970876254625356,-15.303420055674787,-15.44850455815217
-69.70876254625355,0.2045435340498683,-0.6970876254625356,-15.874092163643573,-16.05992886308943
-69.70876254625355,0.20825384592687915,-0.6970876254625356,-16.45521070924142,-16.689593004849684
-69.70876254625355,0.21196415780388997,-0.6970876254625356,-17.046775692468316,-17.335926745069436
-69.70876254625355,0.21567446968090082,-0.6970876254625356,-17.64878711332428,-17.997244248004055
-69.70876254625355,0.21938478155791166,-0.6970876254625356,-18.2612449718093,-18.671906309133455
-69.70876254625355,0.2230950934349225,-0.6970876254625356,-18.884149267923377,-19.35845762254769
-69.70876254625355,0.22680540531193333,-0.6970876254625356,-19.517500001666512,-20.055708325327533
-69.70876254625355,0.23051571718894417,-0.6970876254625356,-20.161297173038708,-20.762735837027417
-69.70876254625355,0.23422602906595502,-0.6970876254625356,-20.815540782039964,-21.47879574559106
-69.70876254625355,0.23793634094296587,-0.6970876254625356,-21.480230828670276,-22.203147175972926
-69.70876254625355,0.2416466528199767,-0.6970876254625356,-22.155367312929645,-22.934815843498907
-69.70876254625355,0.24535696469698753,-0.6970876254625356,-22.840950234818074,-23.672333564149895
-69.70876254625355,0.24906727657399838,-0.6970876254625356,-23.536979594335566,-24.41350306289682
-69.70876254625355,0.2527775884510092,-0.6970876254625356,-24.243455391482115,-25.15523857378206
-69.70876254625355,0.25648790032802005,-0.6970876254625356,-24.960377626257714,-25.893524112663798
-69.70876254625355,0.2601982122050309,-0.6970876254625356,-25.687746298662386,-26.623512578287368
-69.70876254625355,0.26390852408204174,-0.6970876254625356,-26.425561408696105,-27.33976294385729
-69.70876254625355,0.26761883595905256,-0.6970876254625356,-27.173822956358876,-28.036585431367964
-69.70876254625355,0.27132914783606343,-0.6970876254625356,-27.932530941650725,-28.708442794022694
-69.70876254625355,0.27503945971307425,-0.6970876254625356,-28.701685364571624,-29.350345712604717
-69.70876254625355,0.27874977159008507,-0.6970876254625356,-29.481286225121572,-29.95818444083491
-69.70876254625355,0.28246008346709595,-0.6970876254625356,-30.271333523300598,-30.528955287375968
-69.70876254625355,0.28617039534410676,-0.6970876254625356,-31.071827259108666,-31.060863736357856
-69.70876254625355,0.28988070722111764,-0.6970876254625356,-31.882767432545805,-31.553309152388174
-69.70876254625355,0.29359101909812846,-0.6970876254625356,-32.70415404361199,-32.00677354712437
-69.70876254625355,0.2973013309751393,-0.6970876254625356,-33.53598709230724,-32.42264609789115
-69.70876254625355,0.30101164285215015,-0.6970876254625356,-34.37826657863155,-32.80301624019534
-69.70876254625355,0.30472195472916097,-0.6970876254625356,-35.23099250258492,-33.150463410619224
-68.32088569478452,0.011607316445304631,-0.6832088569478452,-0.050744868670894124,-0.4635360855459616
-68.32088569478452,0.015317628322315471,-0.6832088569478452,-0.08837135992276464,-0.5970668774858237
-68.32088569478452,0.01902794019932631,-0.6832088569478452,-0.136367864453173,-0.729027403258999
-68.32088569478452,0.02273825207633715,-0.6832088569478452,-0.19473438226211925,-0.8583026548374029
-68.32088569478452,0.02644856395334799,-0.6832088569478452,-0.26347091334960343,-0.9837324435716583
