gCa,seed,a_hat,a_true,b_hat,b_true,Erev,Erev_true,r2_cond_true,r2_cond_nn,r2_sindy_true,r2_sindy_nn,rmse_nn_true,n_sindy_terms
2.0,1111,2.2717332527086036,2.0,-82.96275629951806,-240.0,36.51958529928678,120.0,0.579578157193855,0.5216133943231027,0.3036999286940859,0.1971484847373146,3.656060043524261,6
2.0,2222,3.0966128902163654,2.0,-151.4737097967157,-240.0,48.91593336554637,120.0,0.9529712232727038,0.7647415348974002,0.8309655089116825,0.7558564398931275,4.31387630784965,6
2.0,3333,1.3951289678862235,2.0,-351.48058962552403,-240.0,251.9341205838887,120.0,0.8519056623101952,0.8499294562291037,0.8135668998595385,0.8786011766470063,2.820166402750677,5
2.0,4444,1.5868929290107814,2.0,-280.20442051384964,-240.0,176.5742447970451,120.0,0.9882364732422624,0.9147883978680567,0.9792397302259324,0.9271456266896014,3.0192196907602797,5
2.0,5555,-0.8768198855334886,2.0,-413.87736047395384,-240.0,-472.020955845608,120.0,0.8546830669335049,0.5795202086072696,0.6327720304482751,0.4907508182664587,6.484460645037103,6
0.4,1111,-0.3719798574860592,0.4,-89.22550671921876,-48.0,-239.86650062782684,120.0,0.7806472493640154,0.2152352380420134,-0.35870485913710626,0.24300334080922215,2.276730578073873,6
