gCa,seed,final_loss,bfgs_ok,status
0.4,2222,38.940091694510336,true,ok
0.4,3333,40.05063266003101,true,ok
0.4,4444,39.72568899818639,true,ok
0.4,5555,40.22677821676501,true,ok
1.0,2222,36.50488621787134,true,ok
1.0,3333,38.42729163043319,true,ok
1.0,4444,38.15003006901916,true,ok
1.0,5555,38.28900666187326,true,ok
4.0,2222,31.635791194963396,true,ok
4.0,3333,31.564240447696314,true,ok
4.0,4444,29.97785026781737,true,ok
4.0,5555,29.357190866635534,true,ok
