gCa_true,seed,objective,gCa_hat,ECa_hat,a_hat,b_hat,objective_value,forecast_V_rmse
2.0,1111,sse_full,1.778725289463883,143.2914824926043,1.778725289463883,-254.8761836743665,39.56088661230903,0.27330223394759456
2.0,2222,sse_full,2.627248517922597,73.63087846579097,2.627248517922597,-193.4466163225882,38.486314248270126,0.22788374037682108
2.0,3333,sse_full,2.9081062991120916,58.56253157737873,2.9081062991120916,-170.30606697212585,39.581695067149106,0.07876552789360762
2.0,4444,sse_full,2.18322870897473,103.80692055070591,2.18322870897473,-226.63424913656004,37.438954431615024,0.09482982662242852
2.0,5555,sse_full,2.8950837940006338,59.52483505499284,2.8950837940006338,-172.3293853082706,39.59270240862574,0.17883225628493646
2.0,6666,sse_full,1.088722932197769,283.8797350999756,1.088722932197769,-309.06637758957135,39.852518759288806,0.143576982631513
2.0,7777,sse_full,1.9008901818519544,130.6181707267864,1.9008901818519544,-248.2907983060106,37.6673532928098,0.08459889415292707
2.0,8888,sse_full,2.419894058739241,85.81377790816137,2.419894058739241,-207.6602513179284,36.58103067199252,0.03171340415790816
2.0,9999,sse_full,2.1906828395657048,102.34683227999693,2.1906828395657048,-224.2094491596986,41.271241560915854,0.14029750981841146
2.0,11110,sse_full,2.2724137556336585,97.10345901334261,2.2724137556336585,-220.65923598152892,39.326063549875784,0.2077968541966746
2.0,12221,sse_full,2.0858827136520137,111.08232289054965,2.0858827136520137,-231.7046971097089,36.540141395315445,0.21240910693020779
2.0,13332,sse_full,1.6608521785260064,161.21238434077173,1.6608521785260064,-267.7499397377426,34.551665519738506,0.21372651425360772
2.0,14443,sse_full,2.4605952980523376,83.70740376748547,2.4605952980523376,-205.97004412244328,39.887439787557554,0.18571741751766935
2.0,15554,sse_full,1.1912237197442592,252.01090328394997,1.1912237197442592,-300.20136562601766,36.99939974671699,0.26084874426858434
2.0,16665,sse_full,2.0747409801713435,112.0692622041599,2.0747409801713435,-232.51469091253801,37.110246599957776,0.2184554092201777
2.0,17776,sse_full,2.6760765000644087,69.92986618524168,2.6760765000644087,-187.137671550974,37.58020164364514,0.10801114894766838
2.0,18887,sse_full,2.010833238329065,118.74113524116449,2.010833238329065,-238.76862149986022,42.36267978083509,0.05032012865742308
2.0,19998,sse_full,2.109834363695294,110.04138734774148,2.109834363695294,-232.16910045496954,44.06951887901184,0.07952730970855762
2.0,21109,sse_full,1.6642546822129654,160.47921814308614,1.6642546822129654,-267.078290192507,33.88084820996152,0.16161259480119128
2.0,22220,sse_full,1.3549484515708552,213.2295280629621,1.3549484515708552,-288.9150188780947,40.84988096353427,0.10067238911124107
2.0,23331,sse_full,2.0627786157431904,113.9408424858993,2.0627786157431904,-235.03473333967625,32.51455769347785,0.0174009649136264
2.0,24442,sse_full,1.124613055357053,272.7183090607144,1.124613055357053,-306.70257080457907,43.35324417861053,0.10041733631438707
2.0,25553,sse_full,2.270666516808385,96.41377785312264,2.270666516808385,-218.92353713008737,37.792353853296014,0.035710934839969226
2.0,26664,sse_full,1.427382223396202,198.27143668026514,1.427382223396202,-283.0091241246361,32.821242979075656,0.138525502586894
2.0,27775,sse_full,2.161095142098639,104.79175275895925,2.161095142098639,-226.4649478193885,34.61132545086416,0.14309998549600855
2.0,28886,sse_full,1.204513673156763,248.4921029924869,1.204513673156763,-299.31213572592907,49.90835476014412,0.24423508141113373
2.0,29997,sse_full,1.4097470533705494,202.49192894296985,1.4097470533705494,-285.4624001586704,39.53717329687366,0.0455280456121589
2.0,31108,sse_full,1.9537512062806794,124.34391770618018,1.9537512062806794,-242.93707921211507,38.168646444456954,0.07896791245112353
