gCa_true,seed,objective,gCa_hat,ECa_hat,a_hat,b_hat,objective_value,forecast_V_rmse
2.0,1111,chi2,1.8770173788332696,132.32341098119446,1.8770173788332696,-248.3733420381991,941.4245330984688,0.13871359500533853
2.0,2222,chi2,2.211209810718123,101.60559620837493,2.211209810718123,-224.67129115982277,953.092885393033,0.11914220692822186
2.0,3333,chi2,2.073970296612761,112.36410351880988,2.073970296612761,-233.03981310353313,886.8245859078073,0.15985646976054757
2.0,4444,chi2,2.140818541196851,107.31109146120292,2.140818541196851,-229.7335742762143,883.6564705329755,0.07354570865656507
2.0,5555,chi2,2.1589050674389583,105.95082098160346,2.1589050674389583,-228.7377643165016,929.4958221237721,0.12358251081056214
2.0,6666,chi2,2.036693401083026,116.94232677616431,2.036693401083026,-238.1756652523087,899.8362572969264,0.1268609490911409
2.0,7777,chi2,1.9375865949515392,126.51911284743262,1.9375865949515392,-245.1417370583465,983.5426269162136,0.04315199101094611
2.0,8888,chi2,2.0098949525953405,118.689648885845,2.0098949525953405,-238.55372622097303,976.5618541648471,0.08662351140502625
2.0,9999,chi2,1.8764958947169594,132.6408338363997,1.8764958947169594,-248.89998016583843,914.915636491164,0.07733463053800518
2.0,11110,chi2,1.9153951260254716,128.8224929160782,1.9153951260254716,-246.74597505390702,1003.4146352700689,0.030437359720696076
2.0,12221,chi2,1.849584323712153,135.3590371438779,1.849584323712153,-250.3579531740876,840.276458337673,0.15487309465437485
2.0,13332,chi2,1.8697888222139194,133.78281159925487,1.8697888222139194,-250.14560573263745,896.3503584759048,0.018647007444993428
2.0,14443,chi2,1.8302181402784339,138.23083027354775,1.8302181402784339,-252.9925731123964,904.4311800919562,0.01582350891354069
2.0,15554,chi2,1.895709376081925,130.91744442846021,1.895709376081925,-248.1814268957164,946.8260438851099,0.02120082003798582
2.0,16665,chi2,2.0652590376437843,113.78316758572814,2.0652590376437843,-234.99171518816232,864.3474469575674,0.00530987634992287
2.0,17776,chi2,2.023766424551499,118.00047172125528,2.023766424551499,-238.80539275071507,893.3548528043232,0.08049593567255338
2.0,18887,chi2,1.7240355151303466,151.094953685337,1.7240355151303466,-260.49306631049586,872.2358867416424,0.09647635000616134
2.0,19998,chi2,1.9886433963794095,120.99957327869285,1.9886433963794095,-240.62500236539898,880.9081152110313,0.0315744557279023
2.0,21109,chi2,2.1646265935674265,105.06060029332232,2.1646265935674265,-227.41696933108327,889.946595851432,0.01706675354132212
2.0,22220,chi2,1.7188653747249865,151.3761147633336,1.7188653747249865,-260.19516222708995,913.4753243650028,0.1837807728764961
2.0,23331,chi2,1.9853401007108236,121.08473448753352,1.9853401007108236,-240.39437896202313,891.3856266473178,0.09292646618521463
2.0,24442,chi2,1.8579900607111661,134.99204028311553,1.8579900607111661,-250.81386912115,952.0366781331111,0.018117521393058656
2.0,25553,chi2,2.124841325799341,108.67645257794447,2.124841325799341,-230.92021757888872,928.6790513587626,0.06791912261744647
2.0,26664,chi2,1.9664523010233887,123.5779619755873,1.9664523010233887,-243.01016768267448,883.2515007769067,0.05435502725298193
2.0,27775,chi2,1.945992734726363,125.18797021798338,1.945992734726363,-243.61488051933597,924.0036190212411,0.06880957353852021
2.0,28886,chi2,1.7611497854140814,145.80433312949904,1.7611497854140814,-256.7832700034605,964.2328274177831,0.20342962564794823
2.0,29997,chi2,2.0176690667231427,118.75086606163951,2.0176690667231427,-239.59994909915312,980.9594102373694,0.12177741201956373
2.0,31108,chi2,2.0185854524373266,117.9657886718965,2.0185854524373266,-238.12402489838627,892.5127812490248,0.05637257676188998
