objective,seed,arm,final_loss,bfgs_ok,forecast_V_rmse,forecast_ICa_rmse,train_V_rmse
sse,1111,selftest,37.55155506110696,true,0.2191970340109573,0.9514209254399828,0.1308924323410108
chi2,1111,treatment,917.5882153982058,true,0.11451922334514536,1.293524213184404,0.12983014609500054
sse,2222,treatment,35.53372225893564,true,0.21544424347764016,1.4023914603156933,0.13694760291596145
chi2,2222,treatment,935.4581281395948,true,0.2700176099038472,0.9787581179142849,0.12024372611359027
sse,3333,treatment,36.76693796254107,true,0.2837986139923001,0.9799359146624504,0.16526767496941963
chi2,3333,treatment,871.4946807520754,true,0.3884647914864777,0.7248731439162855,0.12263828050123798
sse,4444,treatment,35.938022671004205,true,0.25693779058749106,1.2889383229691622,0.0909090243226356
chi2,4444,treatment,870.0851141836075,true,0.46488040372165634,0.8170789545754813,0.07982765479156884
sse,5555,treatment,32.7835239730166,true,0.250818977338347,1.3226738715145867,0.2135069280067514
chi2,5555,treatment,922.6718238207753,true,0.10498675314968064,0.5523495530817035,0.07197370910156133
sse,6666,treatment,37.35329257098187,true,0.408828708557271,4.548243830649054,0.15543051951363793
chi2,6666,treatment,889.6320526603895,true,0.41101168006660616,1.528413814419279,0.0878037437802724
sse,7777,treatment,35.94399479392977,true,0.26623000963714155,1.3037253429044224,0.09080275533821648
chi2,7777,treatment,972.6268009383816,true,0.2859200965088009,1.4580984101557073,0.09146768164692484
sse,8888,treatment,35.80204738993065,true,0.21379774119548453,0.4517301202116581,0.08358203831357536
chi2,8888,treatment,964.0640611599691,true,0.5476821644778854,1.1212412203587891,0.10279873362247284
sse,9999,treatment,38.52674882719999,true,0.23478448987007522,1.5045503907849795,0.12951431555198248
chi2,9999,treatment,904.5730080670874,true,0.30744258688767634,1.1238253823211581,0.07484356855391264
sse,11110,treatment,37.919553979239005,true,0.19370683401991184,0.9574528361968254,0.09187145276903788
chi2,11110,treatment,1000.1964905802395,true,0.16418008427925682,0.4903426453721544,0.043749549166236364
sse,12221,treatment,35.13275737594081,true,0.2290327029427868,0.7751659101044163,0.11550882348580187
chi2,12221,treatment,833.1193760432624,true,0.12470535808031208,0.8234538784300388,0.07335120005453152
sse,13332,treatment,32.406946220959554,true,0.3652842009798615,1.301338106049821,0.13443589892946084
chi2,13332,treatment,892.3599276684241,true,0.06071606979549229,0.5297196449241995,0.04964405738681843
sse,14443,treatment,35.951725819376776,true,0.7675641478981294,3.6249585742884998,0.17271223621993434
chi2,14443,treatment,890.0374699577886,true,0.23520589914373638,1.6714214761006343,0.09867501412035623
sse,15554,treatment,31.621269298406435,true,0.24107720122312024,2.232672895325625,0.17657772451271306
chi2,15554,treatment,937.6029465538863,true,0.16478397324595082,0.473798655186677,0.07361866921077496
sse,16665,treatment,34.65316442816934,true,0.2695555887789093,1.3034923740178601,0.12647375983485581
chi2,16665,treatment,855.9726897963625,true,0.08322274196397451,0.9460122465704951,0.08488716684054953
sse,17776,treatment,33.81179623003877,true,0.9772644943515804,1.7591337373309757,0.16779539071825747
chi2,17776,treatment,882.272814306125,true,0.3461703135366023,0.7872023901730963,0.07863004444407765
sse,18887,treatment,38.061519481345535,true,0.30483896997083354,1.8019880161773971,0.14969135685855187
chi2,18887,treatment,861.5924859178361,true,0.510496087219154,0.5719018720168515,0.09179377197440622
sse,19998,treatment,41.21420377629171,true,0.5105609185047669,2.4714136125993216,0.1366605396605123
chi2,19998,treatment,875.1032289314663,true,0.13664913588270006,0.9882941496527325,0.06744553802116621
sse,21109,treatment,30.47012686973679,true,0.452058851327188,0.9464116554799956,0.1566085499890713
chi2,21109,treatment,877.4073103392062,true,0.12837306855585984,0.9858419777884341,0.1021963545153759
sse,22220,treatment,38.361081601576004,true,0.14163516685616404,2.7181063910606356,0.14796154310719395
chi2,22220,treatment,905.8293519356148,true,0.10717951172248515,1.3613568391541089,0.06710151722617264
sse,23331,treatment,31.90206509673955,true,0.40271222943056323,0.5472122222087834,0.06100216112787357
chi2,23331,treatment,885.8413045984128,true,0.10142826928382939,0.5507811576088333,0.04599933161823676
sse,24442,treatment,41.1296181905893,true,0.2528466016232978,1.9718040105671215,0.15455731336051254
chi2,24442,treatment,943.4397978937667,true,0.17883371414383867,0.43513055583588034,0.05839713011301854
sse,25553,treatment,32.3405671598258,true,0.4178345195982848,1.4496452266497868,0.18436172611432455
chi2,25553,treatment,912.1120353634615,true,0.324482685848864,1.4791720451373513,0.11495050477349265
sse,26664,treatment,31.087950683637068,true,0.5824797761759015,0.6462556175759635,0.10219837966965203
chi2,26664,treatment,879.0875437619063,true,0.08291541814871636,0.48904256444930905,0.05977938051450104
sse,27775,treatment,32.48750957676622,true,0.23879786007787462,0.9448588765007058,0.11708141370045885
chi2,27775,treatment,903.0287626871119,true,0.1682445004656592,2.213350069130669,0.13098381788747213
sse,28886,treatment,45.69649318758141,true,0.438374888852252,2.726488828264074,0.17567364705802907
chi2,28886,treatment,954.9627911978318,true,0.12105449221121538,0.7397976442095636,0.10695472915540905
sse,29997,treatment,36.78804120283092,true,0.669488954319205,4.296243721668501,0.1538166443158639
chi2,29997,treatment,970.4475701743131,true,0.35132899420166624,1.1221937060165816,0.08143414281311002
sse,31108,treatment,35.69592087218615,true,0.36233657225701116,1.9704567745316428,0.14213579887504654
chi2,31108,treatment,883.2092064424061,true,0.22881294604702182,0.9445225904843529,0.08125206732899383
