seed,final_loss,bfgs_ok,train_V_rmse,forecast_V_rmse,train_ICa_rmse,forecast_ICa_rmse
1111,29.21228378792504,true,0.25432810315438137,0.2509357938396778,4.119110044564898,3.43773848022218
2222,26.260637486463892,true,0.2846631618303768,0.65525561098513,5.023339721448154,3.9698766863460606
3333,31.82253343368256,true,0.22817515110700198,0.5962267983236287,3.064651325087422,2.7082162487206856
4444,32.79593141937432,true,0.15828753964414824,1.3552071214604922,3.4486888634693083,2.8143883951972706
5555,28.20812007994829,true,0.2904046517504607,0.920483394686778,6.8850187691692435,6.304329725097279
