noise_level,train_V_rmse,train_m_rmse,train_h_rmse,train_n_rmse,train_p_rmse,train_s_rmse,train_gate_rmse_mean,train_V_rmse_vs_noisy,train_ICa_rmse,train_ICa_rmse_norm,forecast_V_rmse,forecast_m_rmse,forecast_h_rmse,forecast_n_rmse,forecast_p_rmse,forecast_s_rmse,forecast_gate_rmse_mean,forecast_V_rmse_vs_noisy,forecast_ICa_rmse,forecast_ICa_rmse_norm,forecast_spike_mean_abs_dev_ms,forecast_spike_count_diff,forecast_rollout_horizon_ms
0.0,0.00639591975775983,5.4778491687613337e-5,2.0382621227620305e-5,1.5352909888779215e-5,5.358324932332225e-5,1.994844933741041e-5,3.2809144292949094e-5,0.00639591975775983,0.1311928705023183,0.014084077082320467,0.04617636497295115,0.0004893551544060737,0.00010119849718517823,0.00011154988273995448,0.00030595367167830605,8.058520660522941e-5,0.0002177284825229484,0.04617636497295115,0.10194551663783308,0.01203219565215149,0.0,0.0,70.0
0.01,0.07220533257375268,0.0005413491831531768,0.0002703404996438753,0.000215524667237909,0.0005611562330407268,0.00015541829529662534,0.00034875777567446264,0.24636183148993587,0.5230862663458276,0.05615539371697539,0.2190985909939482,0.0020607728565556513,0.00042141484880082753,0.0004850743580640088,0.0011442350534301975,0.0003534868393889635,0.0008929967912479298,0.35567670821711017,0.4377325256275987,0.05166370788401191,0.0,0.0,70.0
0.02,0.1308924323410108,0.0008964133339212146,0.00041153591474145585,0.00039377533277391467,0.0007364251356560924,0.00028201033054416546,0.0005440320095273685,0.4937099812620501,1.1161800098390684,0.11982636888824583,0.2191970340109573,0.0018149332685121603,0.0004733829702382431,0.0005282755660819738,0.0010113943610683752,0.00037907559422187357,0.0008414123520245252,0.5772275943586882,0.9514209254399828,0.11229216448147902,0.0,0.0,70.0
0.05,0.35391760846082926,0.002825558201925706,0.0012591989011156656,0.000885290965745063,0.003153153557669814,0.0004955723295621835,0.0017237547912036864,1.220220219421501,1.81071265829073,0.19438721445499127,0.32935223885108744,0.002864135313717007,0.00145184858993355,0.0009931740375866836,0.003732471130454468,0.000543602712040042,0.0019170463567463503,1.3553684436342195,1.6192257125947378,0.19111032266527364,0.0,0.0,70.0
0.1,0.7666366653618382,0.006146951269507711,0.0023830037662565372,0.0019373291536139055,0.005360298220686051,0.0017288135276543055,0.003511279187543702,2.4174038230646593,6.2033790330869385,0.6659574421866405,1.0907001908106033,0.011901405271527932,0.003952822882779761,0.0034569992390119848,0.010629001276006956,0.0024528088068007073,0.006478607495225469,2.753654124494688,5.751256059102387,0.6787962867909063,0.0,0.0,70.0
