t_train_end,train_V_rmse,train_m_rmse,train_h_rmse,train_n_rmse,train_p_rmse,train_s_rmse,train_gate_rmse_mean,train_V_rmse_vs_noisy,train_ICa_rmse,train_ICa_rmse_norm,forecast_V_rmse,forecast_m_rmse,forecast_h_rmse,forecast_n_rmse,forecast_p_rmse,forecast_s_rmse,forecast_gate_rmse_mean,forecast_V_rmse_vs_noisy,forecast_ICa_rmse,forecast_ICa_rmse_norm,forecast_spike_mean_abs_dev_ms,forecast_spike_count_diff,forecast_rollout_horizon_ms
15.0,0.22078988045803064,0.0013813042980301367,0.0012135998363274776,0.0005465556359182843,0.0010241055475279674,0.00016982502564379448,0.0008670780686895321,0.428103252445052,2.567025667448038,0.2890098854801492,1.2615994345773842,0.012585380592259693,0.0033309025707808793,0.003233188628549534,0.007810231343827224,0.002053461798134093,0.005802632986710284,1.413506000535647,1.9808456084242982,0.22725587755907972,0.0,0.0,70.0
20.0,0.21591201961690443,0.0013090683021408061,0.0005990587813822129,0.00046177980322577625,0.0009335299296512577,0.00020850494010262523,0.0007023883513005356,0.4465585416729495,2.5395974901931124,0.2725501633352789,0.2096684793922815,0.0018428504019258947,0.0008298289697327034,0.0005098005204707893,0.0014146904949352394,0.00033276922454798184,0.0009859879223225218,0.5370096674871839,2.159822368552117,0.25194472121743017,0.0,0.0,70.0
30.0,0.1308924323410108,0.0008964133339212146,0.00041153591474145585,0.00039377533277391467,0.0007364251356560924,0.00028201033054416546,0.0005440320095273685,0.4937099812620501,1.1161800098390684,0.11982636888824583,0.2191970340109573,0.0018149332685121603,0.0004733829702382431,0.0005282755660819738,0.0010113943610683752,0.00037907559422187357,0.0008414123520245252,0.5772275943586882,0.9514209254399828,0.11229216448147902,0.0,0.0,70.0
40.0,0.12302864584353312,0.0010295031274565858,0.0002486298583128344,0.0004265178662373836,0.0006153862600331413,0.0003670938662784846,0.0005374261956636859,0.5193647568800436,2.3822406129960507,0.2643824336686319,0.33785237742128943,0.003281628499961813,0.0006637667138029731,0.0008701381196958307,0.001899505789435791,0.0007038977007879511,0.0014837873647368719,0.564201158124893,2.0132741424463543,0.23487796599214397,0.0,0.0,70.0
50.0,0.12373902881701199,0.0011608207091711967,0.00040927204553094205,0.0003695531659909908,0.001132885651827657,0.0003053866113153515,0.0006755836367672277,0.5107263939221628,0.8980473155764221,0.10336119009697353,0.4177206252114012,0.004375363737352434,0.0011157011946850471,0.0011483914508232612,0.003097345244361634,0.0008174799823284127,0.0021108563219101573,0.614905774644684,0.9750604057551001,0.11087146211404197,0.0,0.0,70.0
