model,train_V_rmse,train_m_rmse,train_h_rmse,train_n_rmse,train_p_rmse,train_s_rmse,train_gate_rmse_mean,train_V_rmse_vs_noisy,forecast_V_rmse,forecast_m_rmse,forecast_h_rmse,forecast_n_rmse,forecast_p_rmse,forecast_s_rmse,forecast_gate_rmse_mean,forecast_V_rmse_vs_noisy,forecast_spike_mean_abs_dev_ms,forecast_spike_count_diff,forecast_rollout_horizon_ms,train_ICa_rmse,train_ICa_rmse_norm,forecast_ICa_rmse,forecast_ICa_rmse_norm
NODE,6.04123944846854,0.06504761380205587,0.016171825733345267,0.022846847585412455,0.04471935997511141,0.015638639151992692,0.032884857249583545,6.080134682545722,4122.72611305464,42.49759232039433,17.879997082730082,3.0512425149279543,15.293375554695334,5.705196634902054,16.885480821529953,4122.794846476032,NaN,-6.0,0.7827788649706449,,,,
UDE,0.1308924323410108,0.0008964133339212146,0.00041153591474145585,0.00039377533277391467,0.0007364251356560924,0.00028201033054416546,0.0005440320095273685,0.4937099812620501,0.2191970340109573,0.0018149332685121603,0.0004733829702382431,0.0005282755660819738,0.0010113943610683752,0.00037907559422187357,0.0008414123520245252,0.5772275943586882,0.0,0.0,70.0,1.1161800098390684,0.11982636888824583,0.9514209254399828,0.11229216448147902
