seed,final_loss_before,final_loss_after_recomputed,final_loss_after_recorded,after_recompute_rel_diff
1111,37.55155506110696,29.21228378792504,29.21228378792504,0.0
2222,35.53372225893564,26.260637486463892,26.260637486463892,0.0
3333,36.76693796254107,31.82253343368256,31.82253343368256,0.0
4444,35.938022671004205,32.79593141937432,32.79593141937432,0.0
5555,32.7835239730166,28.20812007994829,28.20812007994829,0.0
