gCa,ECa_hat,chi2,gCa_true,delta_chi2,within_95
0.0,0.0,8141.066110306967,0.4,7199.032784737982,false
0.0625,1182.3257178306576,947.8678018812642,0.4,5.834476312279776,false
0.125,551.3810393333434,945.5332730270486,0.4,3.4999474580641845,true
0.1875,341.0630942344666,943.782768986578,0.4,1.7494434175936249,true
0.25,235.90202445983886,942.6161486207617,0.4,0.5828230517772681,true
0.3125,172.80306053161624,942.0333255689844,0.4,0.0,true
0.375,130.73621444702144,942.0341702285259,0.4,0.0008446595414852709,true
0.4375,100.68756132125856,942.618587793126,0.4,0.5852622241416157,true
0.5,78.14947891235349,943.7864974939647,0.4,1.753171924980279,true
0.5625,60.619297695159915,945.5377891680141,0.4,3.504463599029691,true
0.625,46.5941861152649,947.8723543519449,0.4,5.83902878296044,false
0.6875,35.118195343017575,950.7900846344883,0.4,8.756759065503843,false
0.75,25.554237365722656,954.2908900096201,0.4,12.257564440635633,false
0.8125,17.46110305786133,958.3746838752002,0.4,16.34135830621574,false
0.875,10.52346305847168,963.0413725173418,0.4,21.008046948357332,false
0.9375,4.510342025756836,968.2908588013067,0.4,26.257533232322317,false
1.0,-0.7517028808593751,974.1230520758686,0.4,32.089726506884176,false
1.0625,-5.395170593261721,980.5378729121768,0.4,38.50454734319237,false
1.125,-9.523167514801031,987.5352247041664,0.4,45.50189913518193,false
1.1875,-13.216986465454106,995.1150251621804,0.4,53.081699593195935,false
1.25,-16.541940307617196,1003.2771911463001,0.4,61.24386557731566,false
1.3125,-19.550518798828133,1012.0216381102622,0.4,69.98831254127776,false
1.375,-22.286011505126957,1021.3482793973847,0.4,79.31495382840023,false
1.4375,-24.784106826782242,1031.2570347723158,0.4,89.2237092033314,false
1.5,-27.074120235443132,1041.7478419021768,0.4,99.71451633319236,false
1.5625,-29.18135805130006,1052.820613703672,0.4,110.78728813468763,false
1.625,-31.126816177368184,1064.4752718219422,0.4,122.44194625295779,false
1.6875,-32.9284315109253,1076.7117492781342,0.4,134.6784237091498,false
1.75,-34.6016381263733,1089.5299698103888,0.4,147.4966442414044,false
1.8125,-36.15971488952638,1102.929861696884,0.4,160.8965361278996,false
1.875,-37.61421997547151,1116.9113547512552,0.4,174.87802918227078,false
1.9375,-38.975112533569344,1131.4743802989908,0.4,189.44105473000639,false
2.0,-40.25118720531465,1146.618871226936,0.4,204.58554565795168,false
2.0625,-41.4501262664795,1162.3447613925975,0.4,220.31143582361312,false
2.125,-42.57881247997286,1178.6519864186628,0.4,236.61866084967835,false
2.1875,-43.64322481155398,1195.5404824578338,0.4,253.5071568888494,false
2.25,-44.64866437911989,1213.010186559894,0.4,270.9768609909096,false
2.3125,-45.59999778270724,1231.0610379670309,0.4,289.02771239804645,false
2.375,-46.50144853591921,1249.6930020787772,0.4,307.6596765097928,false
2.4375,-47.356840395927456,1268.9059710452668,0.4,326.8726454762824,false
2.5,-48.16964950561525,1288.6999113763525,0.4,346.66658580736805,false
2.5625,-48.94302177429201,1309.0747651418437,0.4,367.0414395728593,false
2.625,-49.67968597412112,1330.0304795776708,0.4,387.9971540086864,false
2.6875,-50.38233611583712,1351.5669996427532,0.4,409.5336740737688,false
2.75,-51.053179550170924,1373.6842726862635,0.4,431.6509471172791,false
2.8125,-51.69433672428134,1396.382247352987,0.4,454.3489217840025,false
2.875,-52.307771658897416,1419.6608734980746,0.4,477.62754792909016,false
2.9375,-52.89525718688967,1443.5201014908357,0.4,501.4867759218513,false
3.0,-53.458444476127646,1467.9598797228862,0.4,525.9265541539017,false
3.0625,-53.998793506622334,1492.980162658554,0.4,550.9468370895696,false
3.125,-54.5176252126694,1518.580903810655,0.4,576.5475782416705,false
3.1875,-55.0168167114258,1544.7620612366816,0.4,602.7287356676972,false
3.25,-55.49582920074465,1571.5235800530597,0.4,629.4902544840753,false
3.3125,-55.95747835636141,1598.8654272569781,0.4,656.8321016879937,false
3.375,-56.402129173278844,1626.7875569156454,0.4,684.754231346661,false
3.4375,-56.830737590789816,1655.2899275305751,0.4,713.2566019615907,false
3.5,-57.244190025329615,1684.3724985467927,0.4,742.3391729778083,false
3.5625,-57.64319908618929,1714.0352302487263,0.4,772.0019046797419,false
3.625,-58.028546905517594,1744.2780839047987,0.4,802.2447583358143,false
3.6875,-58.40099823474887,1775.101021516281,0.4,833.0676959472966,false
3.75,-58.76112663745883,1806.5040060624472,0.4,864.4706804934627,false
3.8125,-59.10955781936648,1838.4869628957033,0.4,896.4536373267189,false
3.875,-59.446865344047566,1871.0499045200186,0.4,929.0165789510341,false
3.9375,-59.77357063293459,1904.1927980641321,0.4,962.1594724951477,false
