gCa_true,seed,gCa_hat,ECa_hat,a_hat,b_hat,a_true,b_true,chi2,chi2_per_point,sse_full,sse_v,forecast_V_rmse
0.4,1111,0.343657322618117,149.92010816710297,0.343657322618117,-51.5211429793251,0.4,-48.0,941.96078836548,1.0194380826466234,43.99150576982817,43.976989209211226,0.12194366546036543
0.4,2222,0.5251660082976402,70.45368716095581,0.5251660082976402,-36.99988165616986,0.4,-48.0,953.1252957091491,1.0315208828021094,42.76763141207545,42.752441503964036,0.025365434030019087
0.4,3333,0.4293703012863811,100.07730095953576,0.4293703012863811,-42.970220864923704,0.4,-48.0,882.5105722631762,0.9550980219298444,43.24898166920436,43.236049456837605,0.22960419210708863
0.4,4444,0.433506086487633,103.3520978906987,0.433506086487633,-44.80376348688355,0.4,-48.0,884.3128711027113,0.9570485617994711,41.143749922194765,41.12919865146288,0.02917690984858019
0.4,5555,0.4570529356126452,95.20115473218036,0.4570529356126452,-43.5119672440567,0.4,-48.0,931.1124376184893,1.0076974433100534,44.649414585058445,44.6353202442299,0.03898864488811391
1.0,1111,0.9103620221310484,138.34260538386437,0.9103620221310484,-125.94185398413244,1.0,-120.0,941.3680219191482,1.0187965605185587,42.14203706738385,42.127717485226746,0.14994708285635716
1.0,2222,1.1428978692001235,94.69275325248725,1.1428978692001235,-108.22414592096074,1.0,-120.0,953.5614743105749,1.0319929375655572,41.26617626717975,41.251157128152265,0.014298842178652816
1.0,3333,1.0391011627605575,110.37001768537978,1.0391011627605575,-114.68561371078142,1.0,-120.0,883.6842455488847,0.9563682311135117,42.14510451233986,42.13233261702835,0.22302193633197465
1.0,4444,1.0599995839056553,108.4945154188027,1.0599995839056553,-115.00414119997657,1.0,-120.0,884.3298537014088,0.9570669412352909,39.74494699022484,39.73057963632827,0.00959230135119908
1.0,5555,1.0628751608483085,108.3026356545717,1.0628751608483085,-115.11218129164864,1.0,-120.0,931.1064718589196,1.0076909868603026,42.957212140055056,42.94329778659204,0.029193093606157492
2.0,1111,1.8770173788332696,132.32341098119446,1.8770173788332696,-248.3733420381991,2.0,-240.0,941.4245330984688,1.0188577198035378,39.73855364066705,39.72457116164414,0.13871359500533853
2.0,2222,2.211209810718123,101.60559620837493,2.211209810718123,-224.67129115982277,2.0,-240.0,953.092885393033,1.0314858067024166,38.70362505856082,38.68888175817557,0.11914220692822186
2.0,3333,2.073970296612761,112.36410351880988,2.073970296612761,-233.03981310353313,2.0,-240.0,886.8245859078073,0.9597668678655923,40.43682756198192,40.42429908531712,0.15985646976054757
2.0,4444,2.140818541196851,107.31109146120292,2.140818541196851,-229.7335742762143,2.0,-240.0,883.6564705329755,0.9563381715724844,37.44330509502124,37.42920615612219,0.07354570865656507
2.0,5555,2.1589050674389583,105.95082098160346,2.1589050674389583,-228.7377643165016,2.0,-240.0,929.4958221237721,1.0059478594413118,40.325568245838554,40.311958484418604,0.12358251081056214
4.0,1111,3.899708623474453,124.84671027021844,3.899708623474453,-486.8657926531874,4.0,-480.0,942.9589206555011,1.0205183123977284,34.78093219526687,34.76829622945762,0.023886462690606323
4.0,2222,4.140718475610928,113.56253532974152,4.140718475610928,-470.23048817707945,4.0,-480.0,954.8088190200474,1.033342877727324,33.69723810805315,33.683849541405046,0.014108990373705752
4.0,3333,4.169164914282701,112.23586565957648,4.169164914282701,-467.92983323205294,4.0,-480.0,889.6848645862646,0.9628624075608924,34.738447334329415,34.72697868146482,0.03790505429840657
4.0,4444,4.204299265249661,110.83300276540183,4.204299265249661,-465.97511209199257,4.0,-480.0,883.1147069940665,0.9557518473961759,32.480664357548974,32.467905330796796,0.043118067452178464
4.0,5555,4.112607726698153,114.86305048598311,4.112607726698153,-472.38666894077414,4.0,-480.0,930.8121509156869,1.0073724577009597,34.748080194534595,34.73573775049184,0.04150114466772902
