model,observed,gCa,noise_level,t_train_end,seed,window,metric,value
UDE,full,2.0,0.02,30.0,2222,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,30.0,2222,forecast,spike_count_diff,0.0
UDE,full,2.0,0.02,30.0,2222,forecast,rollout_horizon_ms,70.0
UDE,full,2.0,0.02,30.0,2222,common_eval,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,30.0,2222,common_eval,spike_count_diff,0.0
UDE,full,2.0,0.02,30.0,2222,common_eval,rollout_horizon_ms,70.0
UDE,full,2.0,0.02,30.0,3333,train,V_rmse,0.16526767496941963
UDE,full,2.0,0.02,30.0,3333,train,m_rmse,0.002006285155324963
UDE,full,2.0,0.02,30.0,3333,train,h_rmse,0.0007202907167582596
UDE,full,2.0,0.02,30.0,3333,train,n_rmse,0.00045249369300585083
UDE,full,2.0,0.02,30.0,3333,train,p_rmse,0.0017853933012011581
UDE,full,2.0,0.02,30.0,3333,train,s_rmse,0.00021810088377508565
UDE,full,2.0,0.02,30.0,3333,train,gate_rmse_mean,0.0010365127500130634
UDE,full,2.0,0.02,30.0,3333,train,V_rmse_vs_noisy,0.4885249781591172
UDE,full,2.0,0.02,30.0,3333,train,ICa_rmse,1.1173741550740617
UDE,full,2.0,0.02,30.0,3333,train,ICa_rmse_norm,0.11995456513452611
UDE,full,2.0,0.02,30.0,3333,forecast,V_rmse,0.2837986139923001
UDE,full,2.0,0.02,30.0,3333,forecast,m_rmse,0.0021643421234282217
UDE,full,2.0,0.02,30.0,3333,forecast,h_rmse,0.0006659578360022962
UDE,full,2.0,0.02,30.0,3333,forecast,n_rmse,0.0005866558892883932
UDE,full,2.0,0.02,30.0,3333,forecast,p_rmse,0.0011700253117251625
UDE,full,2.0,0.02,30.0,3333,forecast,s_rmse,0.0003942429586061027
UDE,full,2.0,0.02,30.0,3333,forecast,gate_rmse_mean,0.0009962448238100352
UDE,full,2.0,0.02,30.0,3333,forecast,V_rmse_vs_noisy,0.5831933288305257
UDE,full,2.0,0.02,30.0,3333,forecast,ICa_rmse,0.9799359146624504
UDE,full,2.0,0.02,30.0,3333,forecast,ICa_rmse_norm,0.11565766735653528
UDE,full,2.0,0.02,30.0,3333,common_eval,V_rmse,0.31702783153595226
UDE,full,2.0,0.02,30.0,3333,common_eval,m_rmse,0.0024200506071973137
UDE,full,2.0,0.02,30.0,3333,common_eval,h_rmse,0.0006605113786274713
UDE,full,2.0,0.02,30.0,3333,common_eval,n_rmse,0.0006413989818148219
UDE,full,2.0,0.02,30.0,3333,common_eval,p_rmse,0.001163470018009645
UDE,full,2.0,0.02,30.0,3333,common_eval,s_rmse,0.00045187576800500336
UDE,full,2.0,0.02,30.0,3333,common_eval,gate_rmse_mean,0.001067461350730851
UDE,full,2.0,0.02,30.0,3333,common_eval,V_rmse_vs_noisy,0.59419559060127
UDE,full,2.0,0.02,30.0,3333,common_eval,ICa_rmse,1.0317616339675493
UDE,full,2.0,0.02,30.0,3333,common_eval,ICa_rmse_norm,0.11731880428737924
UDE,full,2.0,0.02,30.0,3333,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,30.0,3333,forecast,spike_count_diff,0.0
UDE,full,2.0,0.02,30.0,3333,forecast,rollout_horizon_ms,70.0
UDE,full,2.0,0.02,30.0,3333,common_eval,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,30.0,3333,common_eval,spike_count_diff,0.0
UDE,full,2.0,0.02,30.0,3333,common_eval,rollout_horizon_ms,70.0
UDE,full,2.0,0.02,30.0,4444,train,V_rmse,0.0909090243226356
UDE,full,2.0,0.02,30.0,4444,train,m_rmse,0.0007970269228373311
UDE,full,2.0,0.02,30.0,4444,train,h_rmse,0.00035591898608103317
UDE,full,2.0,0.02,30.0,4444,train,n_rmse,0.0002944003036006633
UDE,full,2.0,0.02,30.0,4444,train,p_rmse,0.0005566722284891667
UDE,full,2.0,0.02,30.0,4444,train,s_rmse,0.00013750878856894533
UDE,full,2.0,0.02,30.0,4444,train,gate_rmse_mean,0.0004283054459154279
UDE,full,2.0,0.02,30.0,4444,train,V_rmse_vs_noisy,0.482982277566006
UDE,full,2.0,0.02,30.0,4444,train,ICa_rmse,1.4212626216006086
UDE,full,2.0,0.02,30.0,4444,train,ICa_rmse_norm,0.15257820215535353
UDE,full,2.0,0.02,30.0,4444,forecast,V_rmse,0.25693779058749106
UDE,full,2.0,0.02,30.0,4444,forecast,m_rmse,0.0023753253339607516
UDE,full,2.0,0.02,30.0,4444,forecast,h_rmse,0.0006510232544688291
UDE,full,2.0,0.02,30.0,4444,forecast,n_rmse,0.0006535748964010136
UDE,full,2.0,0.02,30.0,4444,forecast,p_rmse,0.0015031713322598739
UDE,full,2.0,0.02,30.0,4444,forecast,s_rmse,0.00038350400686988086
UDE,full,2.0,0.02,30.0,4444,forecast,gate_rmse_mean,0.0011133197647920697
UDE,full,2.0,0.02,30.0,4444,forecast,V_rmse_vs_noisy,0.5746964652292431
UDE,full,2.0,0.02,30.0,4444,forecast,ICa_rmse,1.2889383229691622
UDE,full,2.0,0.02,30.0,4444,forecast,ICa_rmse_norm,0.1521279071115671
UDE,full,2.0,0.02,30.0,4444,common_eval,V_rmse,0.29164582296054803
UDE,full,2.0,0.02,30.0,4444,common_eval,m_rmse,0.002722853929106958
UDE,full,2.0,0.02,30.0,4444,common_eval,h_rmse,0.000715997656305269
UDE,full,2.0,0.02,30.0,4444,common_eval,n_rmse,0.0007325847969806413
UDE,full,2.0,0.02,30.0,4444,common_eval,p_rmse,0.0017158215607267252
UDE,full,2.0,0.02,30.0,4444,common_eval,s_rmse,0.0004424766528555649
UDE,full,2.0,0.02,30.0,4444,common_eval,gate_rmse_mean,0.0012659469191950315
UDE,full,2.0,0.02,30.0,4444,common_eval,V_rmse_vs_noisy,0.5707145498812424
UDE,full,2.0,0.02,30.0,4444,common_eval,ICa_rmse,1.379795848143232
UDE,full,2.0,0.02,30.0,4444,common_eval,ICa_rmse_norm,0.15689282653627493
UDE,full,2.0,0.02,30.0,4444,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,30.0,4444,forecast,spike_count_diff,0.0
UDE,full,2.0,0.02,30.0,4444,forecast,rollout_horizon_ms,70.0
UDE,full,2.0,0.02,30.0,4444,common_eval,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,30.0,4444,common_eval,spike_count_diff,0.0
UDE,full,2.0,0.02,30.0,4444,common_eval,rollout_horizon_ms,70.0
UDE,full,2.0,0.02,30.0,5555,train,V_rmse,0.2135069280067514
UDE,full,2.0,0.02,30.0,5555,train,m_rmse,0.002055406941207871
UDE,full,2.0,0.02,30.0,5555,train,h_rmse,0.0011835101654165557
UDE,full,2.0,0.02,30.0,5555,train,n_rmse,0.0007623475910419444
UDE,full,2.0,0.02,30.0,5555,train,p_rmse,0.0022438455080990233
UDE,full,2.0,0.02,30.0,5555,train,s_rmse,0.00023512744978004935
UDE,full,2.0,0.02,30.0,5555,train,gate_rmse_mean,0.0012960475311090886
UDE,full,2.0,0.02,30.0,5555,train,V_rmse_vs_noisy,0.4612764627862158
UDE,full,2.0,0.02,30.0,5555,train,ICa_rmse,1.7131523649979739
UDE,full,2.0,0.02,30.0,5555,train,ICa_rmse_norm,0.1839137284671632
UDE,full,2.0,0.02,30.0,5555,forecast,V_rmse,0.250818977338347
UDE,full,2.0,0.02,30.0,5555,forecast,m_rmse,0.0017667546279346168
UDE,full,2.0,0.02,30.0,5555,forecast,h_rmse,0.0011885174446731746
UDE,full,2.0,0.02,30.0,5555,forecast,n_rmse,0.0007187105678153484
UDE,full,2.0,0.02,30.0,5555,forecast,p_rmse,0.0015112233012549853
UDE,full,2.0,0.02,30.0,5555,forecast,s_rmse,0.00027735603683101754
UDE,full,2.0,0.02,30.0,5555,forecast,gate_rmse_mean,0.0010925123957018286
UDE,full,2.0,0.02,30.0,5555,forecast,V_rmse_vs_noisy,0.5720504040021219
UDE,full,2.0,0.02,30.0,5555,forecast,ICa_rmse,1.3226738715145867
UDE,full,2.0,0.02,30.0,5555,forecast,ICa_rmse_norm,0.1561095703952329
UDE,full,2.0,0.02,30.0,5555,common_eval,V_rmse,0.25576351562787114
UDE,full,2.0,0.02,30.0,5555,common_eval,m_rmse,0.00182544251794199
UDE,full,2.0,0.02,30.0,5555,common_eval,h_rmse,0.0011495261251768564
UDE,full,2.0,0.02,30.0,5555,common_eval,n_rmse,0.0007150522067595563
UDE,full,2.0,0.02,30.0,5555,common_eval,p_rmse,0.0014397291453258877
UDE,full,2.0,0.02,30.0,5555,common_eval,s_rmse,0.0003039442039204332
UDE,full,2.0,0.02,30.0,5555,common_eval,gate_rmse_mean,0.0010867388398249447
UDE,full,2.0,0.02,30.0,5555,common_eval,V_rmse_vs_noisy,0.5934234055569135
UDE,full,2.0,0.02,30.0,5555,common_eval,ICa_rmse,1.396038068573499
UDE,full,2.0,0.02,30.0,5555,common_eval,ICa_rmse_norm,0.15873968516826675
UDE,full,2.0,0.02,30.0,5555,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,30.0,5555,forecast,spike_count_diff,0.0
UDE,full,2.0,0.02,30.0,5555,forecast,rollout_horizon_ms,70.0
