gCa_true,objective,g_mean,g_sd,rel_sd,e_mean,e_sd,n
0.4,sse_full,0.6339504124743758,0.2363037275849437,0.37274796724656295,57.27173818393046,52.69323089101971,5
0.4,sse_v,0.6341098998788699,0.23641332007129873,0.37282704483317375,57.24036636445752,52.684903862384715,5
0.4,chi2,0.43775053086048327,0.06510726518191451,0.14873143626789806,103.80086978209472,28.84025050995297,5
1.0,sse_full,1.2454344561642718,0.32938164826727717,0.2644712828017599,88.82166898082484,45.800819573195206,5
1.0,sse_v,1.2456181841781109,0.32953420107458997,0.2645547449935669,88.8014127611697,45.802682227666345,5
1.0,chi2,1.0430471597691386,0.0840708259850014,0.0806011743549631,112.04050547902116,15.985002443837535,5
2.0,sse_full,2.478478521894787,0.4891573186992122,0.1973619357109673,87.76332962829454,36.022902189597175,5
2.0,sse_v,2.4787701011341534,0.48932713238782105,0.19740722714217465,87.74630694289775,36.024898455458086,5
2.0,chi2,2.092384218959993,0.13001189990915696,0.062135767767250036,111.91100463023713,12.039062096659686,5
4.0,sse_full,4.552757121545267,0.5879338280135759,0.12913797339007252,99.17377967923271,21.39518869237691,5
4.0,sse_v,4.553113560439355,0.5882269287801432,0.1291922375692694,99.16235906149826,21.402103056831805,5
4.0,chi2,4.10529980106318,0.11984914182199823,0.0291937611452786,115.26823290218427,5.560740129453148,5
