ECa,gCa_hat,chi2,gCa_true,delta_chi2,within_95
0.0,5.202653090159098,1507.5739313817055,2.0,566.1444111902583,false
3.75,4.95516414642334,1426.8357983079102,2.0,485.406278116463,false
7.5,4.7299786130587265,1358.729740848906,2.0,417.3002206574588,false
11.25,4.524234676361084,1300.969922772847,2.0,359.5404025813998,false
15.0,4.335533740123112,1251.7491930406566,2.0,310.3196728492094,false
18.75,4.161856532096863,1209.6255089337783,2.0,268.1959887423311,false
22.5,4.001487096150717,1173.4383122965346,2.0,232.00879210508742,false
26.25,3.852957534790039,1142.2461780604083,2.0,200.8166578689611,false
30.0,3.7150139470895125,1115.2798887639292,2.0,173.850368572482,false
33.75,3.586565160751343,1091.9066760625915,2.0,150.4771558711443,false
37.5,3.4666680117448174,1071.6027153859673,2.0,130.17319519452008,false
41.25,3.354499991734822,1053.931861174463,2.0,112.50234098301576,false
45.0,3.249338847398758,1038.528988375322,2.0,97.0994681838747,false
48.75,3.150550347566605,1025.0868494964413,2.0,83.65732930499416,false
52.5,3.0575741052627574,1013.3456274239759,2.0,71.9161072325287,false
56.25,2.9699129084746048,1003.0847556125298,2.0,61.65523542108258,false
60.0,2.887126159667969,994.1160657228206,2.0,52.68654553137344,false
63.75,2.808816969394683,986.2784030552918,2.0,44.848882863844665,false
67.5,2.734634317954381,979.4334279616692,2.0,38.003907770221986,false
71.25,2.664261054992676,973.4616790614429,2.0,32.03215886999567,false
75.0,2.597411028544108,968.2599000312771,2.0,26.830379839829902,false
78.75,2.5338270008563994,963.7382982380215,2.0,22.308778046574275,false
82.5,2.47327618598938,959.8188540389144,2.0,18.389333847467242,false
86.25,2.4155465563138323,956.4334107587666,2.0,15.003890567319445,false
90.0,2.3604454716046646,953.5222991161072,2.0,12.092778924660024,false
93.75,2.307798328002294,951.0331433716377,2.0,9.603623180190539,false
97.5,2.257444582382838,948.9199173763466,2.0,7.490397184899393,false
101.25,2.2092383205890656,947.1419942711996,2.0,5.712474079752383,false
105.0,2.163044571876526,945.6634974331537,2.0,4.233977241706498,false
108.75,2.118738555908204,944.4526578179531,2.0,3.0231376265059,true
112.5,2.0762126664320633,943.4812879951519,2.0,2.0517678037047062,true
116.25,2.0353561659653976,942.7243549116146,2.0,1.2948347201673869,true
120.0,1.9960744698842365,942.1595676486456,2.0,0.7300474571984523,true
