model,observed,gCa,noise_level,t_train_end,seed,window,metric,value
UDE,full,2.0,0.02,30.0,1111,train,p_rmse,0.0007364251356560924
UDE,full,2.0,0.02,30.0,1111,train,s_rmse,0.00028201033054416546
UDE,full,2.0,0.02,30.0,1111,train,gate_rmse_mean,0.0005440320095273685
UDE,full,2.0,0.02,30.0,1111,train,V_rmse_vs_noisy,0.4937099812620501
UDE,full,2.0,0.02,30.0,1111,train,ICa_rmse,1.1161800098390684
UDE,full,2.0,0.02,30.0,1111,train,ICa_rmse_norm,0.11982636888824583
UDE,full,2.0,0.02,30.0,1111,forecast,V_rmse,0.2191970340109573
UDE,full,2.0,0.02,30.0,1111,forecast,m_rmse,0.0018149332685121603
UDE,full,2.0,0.02,30.0,1111,forecast,h_rmse,0.0004733829702382431
UDE,full,2.0,0.02,30.0,1111,forecast,n_rmse,0.0005282755660819738
UDE,full,2.0,0.02,30.0,1111,forecast,p_rmse,0.0010113943610683752
UDE,full,2.0,0.02,30.0,1111,forecast,s_rmse,0.00037907559422187357
UDE,full,2.0,0.02,30.0,1111,forecast,gate_rmse_mean,0.0008414123520245252
UDE,full,2.0,0.02,30.0,1111,forecast,V_rmse_vs_noisy,0.5772275943586882
UDE,full,2.0,0.02,30.0,1111,forecast,ICa_rmse,0.9514209254399828
UDE,full,2.0,0.02,30.0,1111,forecast,ICa_rmse_norm,0.11229216448147902
UDE,full,2.0,0.02,30.0,1111,common_eval,V_rmse,0.23608373353853263
UDE,full,2.0,0.02,30.0,1111,common_eval,m_rmse,0.002003497810837973
UDE,full,2.0,0.02,30.0,1111,common_eval,h_rmse,0.0004799784195858227
UDE,full,2.0,0.02,30.0,1111,common_eval,n_rmse,0.0005637511584024114
UDE,full,2.0,0.02,30.0,1111,common_eval,p_rmse,0.001066760397737472
UDE,full,2.0,0.02,30.0,1111,common_eval,s_rmse,0.0004128286838685252
UDE,full,2.0,0.02,30.0,1111,common_eval,gate_rmse_mean,0.0009053632940864408
UDE,full,2.0,0.02,30.0,1111,common_eval,V_rmse_vs_noisy,0.5781372668187755
UDE,full,2.0,0.02,30.0,1111,common_eval,ICa_rmse,1.0078897986177453
UDE,full,2.0,0.02,30.0,1111,common_eval,ICa_rmse_norm,0.1146044029303384
UDE,full,2.0,0.02,30.0,1111,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,30.0,1111,forecast,spike_count_diff,0.0
UDE,full,2.0,0.02,30.0,1111,forecast,rollout_horizon_ms,69.86301369863014
UDE,full,2.0,0.02,30.0,1111,common_eval,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,30.0,1111,common_eval,spike_count_diff,0.0
UDE,full,2.0,0.02,30.0,1111,common_eval,rollout_horizon_ms,49.90215264187867
UDE,full,2.0,0.02,40.0,1111,train,V_rmse,0.12302864584353312
UDE,full,2.0,0.02,40.0,1111,train,m_rmse,0.0010295031274565858
UDE,full,2.0,0.02,40.0,1111,train,h_rmse,0.0002486298583128344
UDE,full,2.0,0.02,40.0,1111,train,n_rmse,0.0004265178662373836
UDE,full,2.0,0.02,40.0,1111,train,p_rmse,0.0006153862600331413
UDE,full,2.0,0.02,40.0,1111,train,s_rmse,0.0003670938662784846
UDE,full,2.0,0.02,40.0,1111,train,gate_rmse_mean,0.0005374261956636859
UDE,full,2.0,0.02,40.0,1111,train,V_rmse_vs_noisy,0.5193647568800436
UDE,full,2.0,0.02,40.0,1111,train,ICa_rmse,2.3822406129960507
UDE,full,2.0,0.02,40.0,1111,train,ICa_rmse_norm,0.2643824336686319
UDE,full,2.0,0.02,40.0,1111,forecast,V_rmse,0.33785237742128943
UDE,full,2.0,0.02,40.0,1111,forecast,m_rmse,0.003281628499961813
UDE,full,2.0,0.02,40.0,1111,forecast,h_rmse,0.0006637667138029731
UDE,full,2.0,0.02,40.0,1111,forecast,n_rmse,0.0008701381196958307
UDE,full,2.0,0.02,40.0,1111,forecast,p_rmse,0.001899505789435791
UDE,full,2.0,0.02,40.0,1111,forecast,s_rmse,0.0007038977007879511
UDE,full,2.0,0.02,40.0,1111,forecast,gate_rmse_mean,0.0014837873647368719
UDE,full,2.0,0.02,40.0,1111,forecast,V_rmse_vs_noisy,0.564201158124893
UDE,full,2.0,0.02,40.0,1111,forecast,ICa_rmse,2.0132741424463543
UDE,full,2.0,0.02,40.0,1111,forecast,ICa_rmse_norm,0.23487796599214397
UDE,full,2.0,0.02,40.0,1111,common_eval,V_rmse,0.3671703369134956
UDE,full,2.0,0.02,40.0,1111,common_eval,m_rmse,0.0035730155842328367
UDE,full,2.0,0.02,40.0,1111,common_eval,h_rmse,0.0007180693208699607
UDE,full,2.0,0.02,40.0,1111,common_eval,n_rmse,0.0009333734260361183
UDE,full,2.0,0.02,40.0,1111,common_eval,p_rmse,0.0020682685352197646
UDE,full,2.0,0.02,40.0,1111,common_eval,s_rmse,0.0007484050566245184
UDE,full,2.0,0.02,40.0,1111,common_eval,gate_rmse_mean,0.0016082263845966396
UDE,full,2.0,0.02,40.0,1111,common_eval,V_rmse_vs_noisy,0.583544474327863
UDE,full,2.0,0.02,40.0,1111,common_eval,ICa_rmse,2.1986697514995526
UDE,full,2.0,0.02,40.0,1111,common_eval,ICa_rmse_norm,0.2500047470042578
UDE,full,2.0,0.02,40.0,1111,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,40.0,1111,forecast,spike_count_diff,0.0
UDE,full,2.0,0.02,40.0,1111,forecast,rollout_horizon_ms,59.88258317025441
UDE,full,2.0,0.02,40.0,1111,common_eval,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,40.0,1111,common_eval,spike_count_diff,0.0
UDE,full,2.0,0.02,40.0,1111,common_eval,rollout_horizon_ms,49.90215264187867
UDE,full,2.0,0.02,50.0,1111,train,V_rmse,0.12373902881701199
UDE,full,2.0,0.02,50.0,1111,train,m_rmse,0.0011608207091711967
UDE,full,2.0,0.02,50.0,1111,train,h_rmse,0.00040927204553094205
UDE,full,2.0,0.02,50.0,1111,train,n_rmse,0.0003695531659909908
UDE,full,2.0,0.02,50.0,1111,train,p_rmse,0.001132885651827657
UDE,full,2.0,0.02,50.0,1111,train,s_rmse,0.0003053866113153515
UDE,full,2.0,0.02,50.0,1111,train,gate_rmse_mean,0.0006755836367672277
UDE,full,2.0,0.02,50.0,1111,train,V_rmse_vs_noisy,0.5107263939221628
UDE,full,2.0,0.02,50.0,1111,train,ICa_rmse,0.8980473155764221
UDE,full,2.0,0.02,50.0,1111,train,ICa_rmse_norm,0.10336119009697353
UDE,full,2.0,0.02,50.0,1111,forecast,V_rmse,0.4177206252114012
UDE,full,2.0,0.02,50.0,1111,forecast,m_rmse,0.004375363737352434
UDE,full,2.0,0.02,50.0,1111,forecast,h_rmse,0.0011157011946850471
UDE,full,2.0,0.02,50.0,1111,forecast,n_rmse,0.0011483914508232612
UDE,full,2.0,0.02,50.0,1111,forecast,p_rmse,0.003097345244361634
UDE,full,2.0,0.02,50.0,1111,forecast,s_rmse,0.0008174799823284127
UDE,full,2.0,0.02,50.0,1111,forecast,gate_rmse_mean,0.0021108563219101573
UDE,full,2.0,0.02,50.0,1111,forecast,V_rmse_vs_noisy,0.614905774644684
UDE,full,2.0,0.02,50.0,1111,forecast,ICa_rmse,0.9750604057551001
UDE,full,2.0,0.02,50.0,1111,forecast,ICa_rmse_norm,0.11087146211404197
UDE,full,2.0,0.02,50.0,1111,common_eval,V_rmse,0.4177206252114012
UDE,full,2.0,0.02,50.0,1111,common_eval,m_rmse,0.004375363737352434
UDE,full,2.0,0.02,50.0,1111,common_eval,h_rmse,0.0011157011946850471
UDE,full,2.0,0.02,50.0,1111,common_eval,n_rmse,0.0011483914508232612
UDE,full,2.0,0.02,50.0,1111,common_eval,p_rmse,0.003097345244361634
UDE,full,2.0,0.02,50.0,1111,common_eval,s_rmse,0.0008174799823284127
UDE,full,2.0,0.02,50.0,1111,common_eval,gate_rmse_mean,0.0021108563219101573
UDE,full,2.0,0.02,50.0,1111,common_eval,V_rmse_vs_noisy,0.614905774644684
UDE,full,2.0,0.02,50.0,1111,common_eval,ICa_rmse,0.9750604057551001
UDE,full,2.0,0.02,50.0,1111,common_eval,ICa_rmse_norm,0.11087146211404197
UDE,full,2.0,0.02,50.0,1111,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,50.0,1111,forecast,spike_count_diff,0.0
UDE,full,2.0,0.02,50.0,1111,forecast,rollout_horizon_ms,49.90215264187867
UDE,full,2.0,0.02,50.0,1111,common_eval,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,50.0,1111,common_eval,spike_count_diff,0.0
UDE,full,2.0,0.02,50.0,1111,common_eval,rollout_horizon_ms,49.90215264187867
