case,domain,seed,n,a_hat,b_hat,Erev,r2_vs_true_on_domain,r2_vs_nn_on_domain,cond,a_sanity_true_current,b_sanity_true_current
before,hull,1111,4434,-0.37197985748605883,-89.22550671921874,-239.86650062782704,0.6881648342515774,-0.26975075215576405,71.60734770842666,0.4000000000000003,-47.999999999999964
before,traj-train,1111,154,-0.060747628422599655,-72.5901597684328,-1194.9463979638656,0.9191059445353688,0.14316405970844925,103.68982462609016,0.40000000000000113,-47.99999999999999
after,hull,1111,4434,-1.341351055239545,-76.18955290427698,-56.80060608046466,-0.33137544146641895,-0.0364543086008664,71.60734770842666,0.4000000000000003,-47.999999999999964
after,traj-train,1111,154,0.021305314592322638,-71.79330523263437,3369.7369227537743,0.9273650800411107,0.0432666596199579,103.68982462609016,0.40000000000000113,-47.99999999999999
