gCa_true,seed,objective,gCa_hat,ECa_hat,a_hat,b_hat,objective_value,sse_full,sse_v,chi2,forecast_V_rmse
0.4,1111,sse_full,0.4232155753131407,104.69886555405839,0.4232155753131407,-44.31019062009399,43.9280799694199,43.9280799694199,43.91349444390369,943.3905706428864,0.15546954395336302
0.4,1111,sse_v,0.4233572742071875,104.63552214879145,0.4233572742071875,-44.29820944215815,43.913494396825044,43.92808001947193,43.913494396825044,943.3937785961965,0.15545022454995586
0.4,1111,chi2,0.343657322618117,149.92010816710297,0.343657322618117,-51.5211429793251,941.96078836548,43.99150576982817,43.976989209211226,941.96078836548,0.12194366546036543
0.4,2222,sse_full,0.6552395131650178,39.118447073006976,0.6552395131650178,-25.631952215888607,42.68713620671665,42.68713620671665,42.671994390545976,955.6427049083683,0.04597118116537594
0.4,2222,sse_v,0.6552134915770166,39.123360363546524,0.6552134915770166,-25.634153546025175,42.6719943893125,42.68713620788268,42.6719943893125,955.6418805282968,0.045972388230562364
0.4,2222,chi2,0.5251660082976402,70.45368716095581,0.5251660082976402,-36.99988165616986,953.1252957091491,42.76763141207545,42.752441503964036,953.1252957091491,0.025365434030019087
0.4,3333,sse_full,0.9665260563784935,-2.573621250903209,0.9665260563784935,2.487471998247364,42.565525096244194,42.565525096244194,42.55213745838309,912.639558062266,0.16211726664209403
0.4,3333,sse_v,0.9668898789799063,-2.6041070441771166,0.9668898789799063,2.5178847447951336,42.552137195535586,42.56552535961238,42.552137195535586,912.6777408784886,0.1620468628763814
0.4,3333,chi2,0.4293703012863811,100.07730095953576,0.4293703012863811,-42.970220864923704,882.5105722631762,43.24898166920436,43.236049456837605,882.5105722631762,0.22960419210708863
0.4,4444,sse_full,0.3926124262092059,119.87903756202368,0.3926124262092059,-47.06599978885065,40.9926240281253,40.9926240281253,40.9780547700199,885.6621584071851,0.14422726763259244
0.4,4444,sse_v,0.39266615824954,119.85089137299468,0.39266615824954,-47.061389078216756,40.978054760237164,40.99262403711585,40.978054760237164,885.6626530286553,0.14422611707563054
0.4,4444,chi2,0.433506086487633,103.3520978906987,0.433506086487633,-44.80376348688355,884.3128711027113,41.143749922194765,41.12919865146288,884.3128711027113,0.02917690984858019
0.4,5555,sse_full,0.7321584913060213,25.235961981466495,0.7321584913060213,-18.47672385100662,43.852797160090425,43.852797160090425,43.83829230479773,948.7751932131944,0.0916152644891469
0.4,5555,sse_v,0.7324226963806995,25.196164981132064,0.7324226963806995,-18.4542430939337,43.8382921198505,43.85279735206629,43.8382921198505,948.7969517872658,0.09160139215412981
0.4,5555,chi2,0.4570529356126452,95.20115473218036,0.4570529356126452,-43.5119672440567,931.1124376184893,44.649414585058445,44.6353202442299,931.1124376184893,0.03898864488811391
1.0,1111,sse_full,0.8667190213130298,148.08360376767328,0.8667190213130298,-128.34687613002427,41.98041767096891,41.98041767096891,41.966035092475565,942.9023263454295,0.27483243734018564
1.0,1111,sse_v,0.8668476101493006,148.0494471912295,0.8668476101493006,-128.33630948164236,41.966035053795444,41.98041771436701,41.966035053795444,942.9034040168334,0.27483372489767055
1.0,1111,chi2,0.9103620221310484,138.34260538386437,0.9103620221310484,-125.94185398413244,941.3680219191482,42.14203706738385,42.127717485226746,941.3680219191482,0.14994708285635716
1.0,2222,sse_full,1.2446270913823196,79.71911407959797,1.2446270913823196,-99.22056908446535,41.13626147163291,41.13626147163291,41.12126697734881,956.1003644161115,0.07720873572042262
1.0,2222,sse_v,1.2445885955454496,79.72398185550668,1.2445885955454496,-99.22355860883597,41.12126697437856,41.1362614744528,41.12126697437856,956.0998366872639,0.07722508464768119
1.0,2222,chi2,1.1428978692001235,94.69275325248725,1.1428978692001235,-108.22414592096074,953.5614743105749,41.26617626717975,41.251157128152265,953.5614743105749,0.014298842178652816
1.0,3333,sse_full,1.6485912377753296,39.82082108585975,1.6485912377753296,-65.64825672316746,41.54838175077621,41.54838175077621,41.53514215244343,912.1796222927782,0.12537048835381265
1.0,3333,sse_v,1.6490197300163172,39.78960319955077,1.6490197300163172,-65.61384072557959,41.53514186933238,41.54838203650136,41.53514186933238,912.2191920151885,0.12531047088875838
1.0,3333,chi2,1.0391011627605575,110.37001768537978,1.0391011627605575,-114.68561371078142,883.6842455488847,42.14510451233986,42.13233261702835,883.6842455488847,0.22302193633197465
1.0,4444,sse_full,0.9809038176238423,122.84206108556172,0.9809038176238423,-120.49624668360873,39.64783747946293,39.64783747946293,39.633480572837364,885.3123262194229,0.11351090371321977
1.0,4444,sse_v,0.9809423938947308,122.83404102457982,0.9809423938947308,-120.4931182544149,39.63348056997834,39.64783748245792,39.63348056997834,885.312206934655,0.11350696906493676
1.0,4444,chi2,1.0599995839056553,108.4945154188027,1.0599995839056553,-115.00414119997657,884.3298537014088,39.74494699022484,39.73057963632827,884.3298537014088,0.00959230135119908
1.0,5555,sse_full,1.4863311127268384,53.642744885431455,1.4863311127268384,-79.73088069528525,42.29238612960189,42.29238612960189,42.278057796794634,952.4373579073723,0.05659395160518413
1.0,5555,sse_v,1.486692591284755,53.60999053498179,1.486692591284755,-79.70157574720326,42.27805756123951,42.29238636431744,42.27805756123951,952.4666960988138,0.05659401891121997
1.0,5555,chi2,1.0628751608483085,108.3026356545717,1.0628751608483085,-115.11218129164864,931.1064718589196,42.957212140055056,42.94329778659204,931.1064718589196,0.029193093606157492
2.0,1111,sse_full,1.778725289463883,143.2914824926043,1.778725289463883,-254.8761836743665,39.56088661230903,39.56088661230903,39.54687145007533,943.2007677947872,0.27330223394759456
2.0,1111,sse_v,1.7788895457652179,143.27113778561161,1.7788895457652179,-254.86352921671258,39.54687140571972,39.5608866571062,39.54687140571972,943.2006340866029,0.2733030070739257
2.0,1111,chi2,1.8770173788332696,132.32341098119446,1.8770173788332696,-248.3733420381991,941.4245330984688,39.73855364066705,39.72457116164414,941.4245330984688,0.13871359500533853
2.0,2222,sse_full,2.627248517922597,73.63087846579097,2.627248517922597,-193.4466163225882,38.486314248270126,38.486314248270126,38.47155510384017,962.2661568038283,0.22788374037682108
2.0,2222,sse_v,2.627370182126662,73.62396239202963,2.627370182126662,-193.4374034788334,38.471555085817556,38.48631426683269,38.471555085817556,962.2716299662193,0.22790615166818778
2.0,2222,chi2,2.211209810718123,101.60559620837493,2.211209810718123,-224.67129115982277,953.092885393033,38.70362505856082,38.68888175817557,953.092885393033,0.11914220692822186
2.0,3333,sse_full,2.9081062991120916,58.56253157737873,2.9081062991120916,-170.30606697212585,39.581695067149106,39.581695067149106,39.56847535614565,923.9980241728051,0.07876552789360762
2.0,3333,sse_v,2.9086896352734914,58.535570920942234,2.9086896352734914,-170.26180843256105,39.56847496688056,39.58169547773869,39.56847496688056,924.0510816891201,0.0788512609731126
2.0,3333,chi2,2.073970296612761,112.36410351880988,2.073970296612761,-233.03981310353313,886.8245859078073,40.43682756198192,40.42429908531712,886.8245859078073,0.15985646976054757
2.0,4444,sse_full,2.18322870897473,103.80692055070591,2.18322870897473,-226.63424913656004,37.438954431615024,37.438954431615024,37.42484336635091,883.7537455133798,0.09482982662242852
2.0,4444,sse_v,2.1833225399445446,103.79923869357052,2.1833225399445446,-226.62721746875644,37.42484335490856,37.43895444297386,37.42484335490856,883.7541434761862,0.09485511205025432
2.0,4444,chi2,2.140818541196851,107.31109146120292,2.140818541196851,-229.7335742762143,883.6564705329755,37.44330509502124,37.42920615612219,883.6564705329755,0.07354570865656507
2.0,5555,sse_full,2.8950837940006338,59.52483505499284,2.8950837940006338,-172.3293853082706,39.59270240862574,39.59270240862574,39.57859354099609,963.7065554683002,0.17883225628493646
2.0,5555,sse_v,2.8955786025608514,59.50162492233474,2.8955786025608514,-172.29163194271396,39.578593234233324,39.59270271148201,39.578593234233324,963.7510977528411,0.17889631710253462
2.0,5555,chi2,2.1589050674389583,105.95082098160346,2.1589050674389583,-228.7377643165016,929.4958221237721,40.325568245838554,40.311958484418604,929.4958221237721,0.12358251081056214
4.0,1111,sse_full,4.038790420212815,118.01319041600016,4.038790420212815,-476.63054291089225,34.66306022494527,34.66306022494527,34.65028377150471,945.4432395729967,0.10201365897515507
4.0,1111,sse_v,4.039177880232115,117.99514948342636,4.039177880232115,-476.60339776813765,34.650283629582496,34.663060369603464,34.650283629582496,945.4502017070748,0.10202004565535441
4.0,1111,chi2,3.899708623474453,124.84671027021844,3.899708623474453,-486.8657926531874,942.9589206555011,34.78093219526687,34.76829622945762,942.9589206555011,0.023886462690606323
4.0,2222,sse_full,4.448435796694159,101.04468156977197,4.448435796694159,-449.4907785605361,33.50133690629493,33.50133690629493,33.48793095157776,959.0512164818551,0.1366425095741294
4.0,2222,sse_v,4.448492351864592,101.04253411575509,4.448492351864592,-449.4869402269536,33.487930946493094,33.50133691129082,33.487930946493094,959.0527004093574,0.13666126190559802
4.0,2222,chi2,4.140718475610928,113.56253532974152,4.140718475610928,-470.23048817707945,954.8088190200474,33.69723810805315,33.683849541405046,954.8088190200474,0.014108990373705752
4.0,3333,sse_full,5.041474918812863,80.64215994163439,5.041474918812863,-406.55542674464516,33.924750554292835,33.924750554292835,33.91262669820317,926.7319630274138,0.10181707452611145
4.0,3333,sse_v,5.042125844465226,80.62271205736612,5.042125844465226,-406.5098601153239,33.91262630638437,33.92475095525502,33.91262630638437,926.7844050554818,0.10183375086722973
4.0,3333,chi2,4.169164914282701,112.23586565957648,4.169164914282701,-467.92983323205294,889.6848645862646,34.738447334329415,34.72697868146482,889.6848645862646,0.03790505429840657
4.0,4444,sse_full,3.9616532484006295,121.82046538472143,3.9616532484006295,-482.6104424130581,32.41850586129576,32.41850586129576,32.40574961501071,885.4178828348555,0.011380538846020893
4.0,4444,sse_v,3.9615916140022103,121.82344540354487,3.9615916140022103,-482.6147396995394,32.4057496117953,32.41850586487163,32.4057496117953,885.4190438062126,0.011383316282942405
4.0,4444,chi2,4.204299265249661,110.83300276540183,4.204299265249661,-465.97511209199257,883.1147069940665,32.480664357548974,32.467905330796796,883.1147069940665,0.043118067452178464
4.0,5555,sse_full,5.273431223605868,74.34840108403566,5.273431223605868,-392.07117970172595,33.59176473028746,33.59176473028746,33.578617799425395,984.162363517413,0.2015141946917598
4.0,5555,sse_v,5.274180111632633,74.32795424739885,5.274180111632633,-392.01901802997133,33.57861732572666,33.59176519730233,33.57861732572666,984.232185844739,0.2015736236967838
4.0,5555,chi2,4.112607726698153,114.86305048598311,4.112607726698153,-472.38666894077414,930.8121509156869,34.748080194534595,34.73573775049184,930.8121509156869,0.04150114466772902
