gCa_true,seed,gCa_hat,ECa_hat,eig_stiff,eig_sloppy,cond_number,sloppy_dir_gCa,sloppy_dir_ECa,stiff_dir_gCa,stiff_dir_ECa,rel_se_gCa,rel_se_ECa,corr_gCa_ECa,eig_stiff_ab,eig_sloppy_ab,cond_number_ab,cond_number_rawunits
0.4,1111,0.343657322618117,149.92010816710297,11056.10319432051,2.634761751176484,4196.244001714272,0.5465854342230314,-0.8374033455242583,-0.8374033455242583,-0.5465854342230314,0.3368284826620789,0.5159243930787607,-0.9994314609452686,4238.164710671532,6.873304791603005,616.6123632185238,3.9278798435207444e8
0.4,2222,0.5251660082976402,70.45368716095581,9383.093386578854,3.7097732021384218,2529.290303021803,0.424200626695957,-0.9055682350385074,-0.9055682350385074,-0.424200626695957,0.2204390469927648,0.47018236748983916,-0.9986619956647456,3863.244911716576,9.010339544646854,428.75686233287115,3.0618475874992304e7
0.4,3333,0.4293703012863811,100.07730095953576,9656.86932429873,3.2617575987974305,2960.6336558728635,0.48599946997577936,-0.8739591038391108,-0.8739591038391108,-0.48599946997577936,0.2692446025967785,0.48393602054488655,-0.9990645615167434,3734.479641929872,8.434472783160118,442.7638499688994,9.385381647579172e7
0.4,4444,0.433506086487633,103.3520978906987,10310.89157587031,3.3869487901445154,3044.300996186707,0.4913653328824889,-0.8709535634241822,-0.8709535634241822,-0.4913653328824889,0.2671309354189146,0.47327480714263503,-0.9991038418646909,3975.198282634329,8.785086746681941,452.4939135217681,9.958901869804333e7
0.4,5555,0.4570529356126452,95.20115473218036,10286.138021509068,3.5564000087401837,2892.289392708899,0.47776254691607833,-0.8784890145950955,-0.8784890145950955,-0.47776254691607833,0.2534898020403554,0.4658576572013883,-0.9990193984389011,3999.789530160745,9.145886570719426,437.33207264630624,7.47537951404924e7
2.0,1111,1.8770173788332696,132.32341098119446,438484.8558598581,53.18789915279194,8244.071731433316,0.539410644867795,-0.8420428470115459,-0.8420428470115459,-0.539410644867795,0.07397368797857469,0.11546186849521646,-0.999706076240651,167742.60432835988,139.03497198516197,1206.4777798945552,2.0602989527573545e7
2.0,2222,2.211209810718123,101.60559620837493,413281.37054316996,63.17777796484006,6541.562300167804,0.5002101987169856,-0.8659040114813615,-0.8659040114813615,-0.5002101987169856,0.06294624377714805,0.10894283060699561,-0.9995927028871644,158676.88900816126,164.54947427062143,964.3111271640893,7.768145673332791e6
2.0,3333,2.073970296612761,112.36410351880988,418963.6971470649,59.28976286416582,7066.374984614463,0.5157562449358221,-0.8567353709341644,-0.8567353709341644,-0.5157562449358221,0.06699454091415243,0.11126740951523524,-0.9996376921082373,160157.88994248898,155.09856093549752,1032.6200899381365,1.117854619657426e7
2.0,4444,2.140818541196851,107.31109146120292,418580.2097659962,61.319587664838764,6826.20718283163,0.5087724333835166,-0.8609010460145899,-0.8609010460145899,-0.5087724333835166,0.06498528417267459,0.10994227826356122,-0.9996183058801756,160251.21502073813,160.16830739287252,1000.5176281701114,9.425123129726758e6
2.0,5555,2.1589050674389583,105.95082098160346,418161.90433399717,61.843038063219865,6761.664973614744,0.5068037161085573,-0.8620614788624746,-0.8620614788624746,-0.5068037161085573,0.06445955160513418,0.10962356722033152,-0.9996127098875084,160180.69259840884,161.44519134485745,992.167628308312,8.997402514422288e6
