ECa,gCa_hat,chi2,gCa_true,delta_chi2,within_95
0.0,0.9843680699666342,972.9061788227706,0.4,30.945389375884247,false
3.75,0.9407829920450848,968.8172260047157,0.4,26.856436557829397,false
7.5,0.9008601824442544,965.3294181486515,0.4,23.368628701765147,false
11.25,0.8641581455866496,962.3396820603336,0.4,20.378892613447306,false
15.0,0.8303081909815473,959.7654661842547,0.4,17.804676737368368,false
18.75,0.7989913940429688,957.5401321183954,0.4,15.579342671509039,false
22.5,0.7699359893798828,955.6094129933284,0.4,13.648623546442082,false
26.25,0.74290771484375,953.9288481860204,0.4,11.968058739134108,false
30.0,0.7177017211914062,952.46175494574,0.4,10.500965498853702,false
33.75,0.6941402435302735,951.1776684792504,0.4,9.21687903236409,false
37.5,0.6720703442891439,950.05114305585,0.4,8.09035360896371,false
41.25,0.6513535181681315,949.0608437366471,0.4,7.100054289760806,false
45.0,0.6318699916203817,948.1887381598623,0.4,6.2279487129759445,false
48.75,0.6135145187377931,947.4195506137437,0.4,5.458761166857357,false
52.5,0.5961899995803833,946.7402718866067,0.4,4.779482439720368,false
56.25,0.5798149744669597,946.1397642798212,0.4,4.178974832934841,false
60.0,0.5643110434214276,945.6085041564912,0.4,3.647714709604884,true
63.75,0.5496125539143881,945.1382485938927,0.4,3.1774591470064024,true
67.5,0.5356582164764405,944.7218803717275,0.4,2.7610909248411417,true
71.25,0.5223929087320963,944.3532250542602,0.4,2.392435607373841,true
75.0,0.5097663720448813,944.0269089872677,0.4,2.066119540381351,true
78.75,0.4977348327636719,943.7382354588335,0.4,1.7774460119471769,true
82.5,0.4862561384836833,943.4831124427346,0.4,1.5223229958482989,true
86.25,0.47529381116231284,943.257930565574,0.4,1.2971411186877049,true
90.0,0.4648140748341878,943.0595173735197,0.4,1.0987279266333871,true
93.75,0.45478572845459,942.8850736815057,0.4,0.9242842346193356,true
97.5,0.4451795578002933,942.7321254725259,0.4,0.7713360256395845,true
101.25,0.4359699249267578,942.5984820715618,0.4,0.6376926246754238,true
105.0,0.4271327972412109,942.4821985876509,0.4,0.5214091407646038,true
108.75,0.41864650249481217,942.3815438942963,0.4,0.42075444740999046,true
112.5,0.410491943359375,942.2949790418724,0.4,0.3341895949860145,true
116.25,0.40264530181884783,942.2211122706319,0.4,0.26032282374558235,true
120.0,0.3950939178466798,942.1587169556457,0.4,0.19792750875933507,true
123.75,0.3878199815750124,942.1066881874534,0.4,0.14589874056707686,true
127.5,0.38080825805664076,942.0640343945247,0.4,0.10324494763835901,true
131.25,0.3740458726882936,942.0298643428184,0.4,0.06907489593208993,true
135.0,0.3675190925598144,942.0033760361953,0.4,0.04258658930893944,true
138.75,0.3612156867980957,941.9838463417296,0.4,0.02305689484330742,true
142.5,0.355124282836914,941.9706225624392,0.4,0.009833115552851268,true
146.25,0.34923522472381596,941.9631148159069,0.4,0.002325369020582002,true
150.0,0.34353799819946296,941.9607894468863,0.4,0.0,true
153.75,0.3380233764648438,941.9631630637738,0.4,0.0023736168874393115,true
157.5,0.33268216451009114,941.9697973348324,0.4,0.009007887946040682,true
161.25,0.3275075276692708,941.9803053115021,0.4,0.019515864615755163,true
165.0,0.32249120076497395,941.9943032571572,0.4,0.03351381027084699,true
168.75,0.31762491861979164,942.0114736860116,0.4,0.050684239125303066,true
172.5,0.31290534337361653,942.0315170037161,0.4,0.07072755682975185,true
176.25,0.3083227793375651,942.0541610082593,0.4,0.09337156137291913,true
180.0,0.30387229919433595,942.079157031277,0.4,0.11836758439062578,true
183.75,0.2995484987894694,942.1062782405297,0.4,0.14548879364338063,true
187.5,0.2953456560770671,942.1353175160928,0.4,0.17452806920641706,true
191.25,0.29125900268554683,942.1660856323788,0.4,0.20529618549244333,true
195.0,0.28728408813476564,942.1984095584111,0.4,0.23762011152473406,true
198.75,0.28341614405314125,942.2321310402599,0.4,0.27134159337356323,true
202.5,0.27965087890625,942.2671052196849,0.4,0.3063157727985981,true
206.25,0.27598368326822914,942.3031994253516,0.4,0.3424099784652981,true
210.0,0.2724118550618489,942.3402921344115,0.4,0.3795026875251324,true
213.75,0.2689309438069661,942.3782719732858,0.4,0.4174825263994535,true
217.5,0.2655384063720702,942.4170367792699,0.4,0.45624733238355475,true
221.25,0.26222979227701826,942.456492915108,0.4,0.4957034682216772,true
225.0,0.2590025583902994,942.4965544391713,0.4,0.5357649922849532,true
228.75,0.2558540026346842,942.5371424866674,0.4,0.576353039781111,true
232.5,0.25278094609578455,942.578184694866,0.4,0.6173952479796299,true
236.25,0.24978052775065102,942.6196146243302,0.4,0.6588251774438731,true
240.0,0.24685084025065102,942.6613712671124,0.4,0.7005818202260343,true
243.75,0.2439891815185547,942.703398658549,0.4,0.7426092116626251,true
247.5,0.24119253158569337,942.745645361968,0.4,0.7848559150816072,true
251.25,0.23845914204915358,942.7880642181317,0.4,0.8272747712453565,true
255.0,0.2357875823974609,942.8306118667319,0.4,0.8698224198456046,true
258.75,0.2331751505533854,942.8732485997862,0.4,0.912459152899828,true
262.5,0.230619462331136,942.9159379023716,0.4,0.9551484554853005,true
266.25,0.22811940511067702,942.9586463442098,0.4,0.9978568973234587,true
270.0,0.2256729125976562,943.0013432431872,0.4,1.0405537963008555,true
273.75,0.22327817281087242,943.0440004885899,0.4,1.083211041703521,true
277.5,0.22093416849772135,943.0865923289264,0.4,1.125802882040034,true
281.25,0.21863851547241214,943.1290951904471,0.4,1.1683057435607225,true
285.0,0.21638997395833337,943.1714907972172,0.4,1.2107013503308508,true
288.75,0.21418730417887372,943.2137530986491,0.4,1.2529636517627978,true
292.5,0.21202885309855146,943.2558671555919,0.4,1.2950777087055485,true
296.25,0.20991379419962564,943.297816573794,0.4,1.3370271269076284,true
300.0,0.20784006118774412,943.3395863965026,0.4,1.3787969496162304,true
