gCa_true,seed,gCa,ECa,sse_full,sse_v,chi2
0.4,1111,0.0,0.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,3.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,6.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,9.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,12.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,15.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,18.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,21.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,24.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,27.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,30.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,33.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,36.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,39.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,42.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,45.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,48.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,51.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,54.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,57.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,60.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,63.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,66.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,69.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,72.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,75.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,78.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,81.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,84.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,87.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,90.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,93.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,96.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,99.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,102.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,105.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,108.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,111.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,114.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,117.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,120.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,123.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,126.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,129.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,132.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,135.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,138.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,141.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,144.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,147.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,150.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,153.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,156.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,159.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,162.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,165.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,168.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,171.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,174.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,177.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,180.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,183.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,186.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,189.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,192.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,195.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,198.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,201.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,204.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,207.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,210.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,213.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,216.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,219.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,222.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,225.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,228.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,231.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,234.0,723.3732959238112,723.2512855452284,8141.066110306967
0.4,1111,0.0,237.0,723.3732959238112,723.2512855452284,8141.066110306967
