V,s,V_norm,ICa_true,ICa_nn
-69.70876254625355,0.011607316445304631,-0.6970876254625356,-0.051118845398432,-0.8083969892718046
-69.70876254625355,0.015317628322315471,-0.6970876254625356,-0.08902263428522926,-0.8846018847592805
-69.70876254625355,0.01902794019932631,-0.6970876254625356,-0.13737286080108507,-0.9636914039688587
-69.70876254625355,0.02273825207633715,-0.6970876254625356,-0.19616952494599948,-1.0456668906768338
-69.70876254625355,0.02644856395334799,-0.6970876254625356,-0.2654126267199725,-1.1305086831549631
-69.70876254625355,0.03015887583035883,-0.6970876254625356,-0.34510216612300415,-1.2181738912490654
-69.70876254625355,0.03386918770736967,-0.6970876254625356,-0.4352381431550944,-1.308594930236485
-69.70876254625355,0.03757949958438051,-0.6970876254625356,-0.5358205578162432,-1.4016793611266896
-69.70876254625355,0.04128981146139135,-0.6970876254625356,-0.6468494101064506,-1.497311787319259
-69.70876254625355,0.04500012333840219,-0.6970876254625356,-0.7683247000257165,-1.5953587913917988
-69.70876254625355,0.04871043521541303,-0.6970876254625356,-0.900246427574041,-1.6956781452383374
-69.70876254625355,0.05242074709242387,-0.6970876254625356,-1.042614592751424,-1.7981337527324803
-69.70876254625355,0.05613105896943471,-0.6970876254625356,-1.195429195557866,-1.9026179166196866
-69.70876254625355,0.05984137084644555,-0.6970876254625356,-1.3586902359933661,-2.009082450794104
-69.70876254625355,0.06355168272345639,-0.6970876254625356,-1.532397714057925,-2.117579733740793
-69.70876254625355,0.06726199460046722,-0.6970876254625356,-1.7165516297515422,-2.228313838767107
-69.70876254625355,0.07097230647747807,-0.6970876254625356,-1.9111519830742183,-2.3417002167559864
-69.70876254625355,0.0746826183544889,-0.6970876254625356,-2.116198774025953,-2.4584299817832593
-69.70876254625355,0.07839293023149975,-0.6970876254625356,-2.3316920026067463,-2.579531816238093
-69.70876254625355,0.08210324210851058,-0.6970876254625356,-2.557631668816598,-2.7064213816872207
-69.70876254625355,0.08581355398552143,-0.6970876254625356,-2.7940177726555087,-2.8409258230809056
-69.70876254625355,0.08952386586253226,-0.6970876254625356,-3.0408503141234773,-2.985270713720587
-69.70876254625355,0.09323417773954311,-0.6970876254625356,-3.2981292932205046,-3.1420197434540325
-69.70876254625355,0.09694448961655394,-0.6970876254625356,-3.5658547099465907,-3.3139640316336423
-69.70876254625355,0.10065480149356479,-0.6970876254625356,-3.8440265643017355,-3.5039672782065705
-69.70876254625355,0.10436511337057562,-0.6970876254625356,-4.132644856285939,-3.7147827342308504
-69.70876254625355,0.10807542524758647,-0.6970876254625356,-4.431709585899202,-3.94886504289819
-69.70876254625355,0.1117857371245973,-0.6970876254625356,-4.741220753141521,-4.208201713949359
-69.70876254625355,0.11549604900160815,-0.6970876254625356,-5.0611783580129,-4.494184472877922
-69.70876254625355,0.11920636087861898,-0.6970876254625356,-5.391582400513338,-4.807531390622751
-69.70876254625355,0.12291667275562983,-0.6970876254625356,-5.732432880642834,-5.148259604828292
-69.70876254625355,0.12662698463264066,-0.6970876254625356,-6.083729798401389,-5.515698867352157
-69.70876254625355,0.1303372965096515,-0.6970876254625356,-6.445473153789003,-5.908530308016211
-69.70876254625355,0.13404760838666235,-0.6970876254625356,-6.817662946805675,-6.324833369215108
-69.70876254625355,0.13775792026367317,-0.6970876254625356,-7.200299177451404,-6.762126369050559
-69.70876254625355,0.14146823214068402,-0.6970876254625356,-7.593381845726195,-7.21739173732807
-69.70876254625355,0.14517854401769487,-0.6970876254625356,-7.996910951630042,-7.6870849763361555
-69.70876254625355,0.1488888558947057,-0.6970876254625356,-8.410886495162949,-8.167136474030142
-69.70876254625355,0.15259916777171653,-0.6970876254625356,-8.835308476324911,-8.652967180843827
-69.70876254625355,0.15630947964872738,-0.6970876254625356,-9.270176895115936,-9.139552515463954
-69.70876254625355,0.16001979152573823,-0.6970876254625356,-9.71549175153602,-9.621583573988305
-69.70876254625355,0.16373010340274907,-0.6970876254625356,-10.17125304558516,-10.093791893292867
-69.70876254625355,0.1674404152797599,-0.6970876254625356,-10.637460777263357,-10.551527535094898
-69.70876254625355,0.17115072715677074,-0.6970876254625356,-11.114114946570615,-10.991717788516162
-69.70876254625355,0.17486103903378158,-0.6970876254625356,-11.601215553506934,-11.41439440714506
-69.70876254625355,0.17857135091079243,-0.6970876254625356,-12.098762598072309,-11.825057338639821
-69.70876254625355,0.18228166278780325,-0.6970876254625356,-12.606756080266742,-12.238178086331411
-69.70876254625355,0.1859919746648141,-0.6970876254625356,-13.125196000090233,-12.681880967002792
-69.70876254625355,0.18970228654182494,-0.6970876254625356,-13.654082357542785,-13.202567356005003
-69.70876254625355,0.1934125984188358,-0.6970876254625356,-14.193415152624397,-13.864660254939183
-69.70876254625355,0.1971229102958466,-0.6970876254625356,-14.74319438533506,-14.734481407863788
-69.70876254625355,0.20083322217285746,-0.6970876254625356,-15.303420055674787,-15.83639006618337
-69.70876254625355,0.2045435340498683,-0.6970876254625356,-15.874092163643573,-17.09547173643713
-69.70876254625355,0.20825384592687915,-0.6970876254625356,-16.45521070924142,-18.331177662724443
-69.70876254625355,0.21196415780388997,-0.6970876254625356,-17.046775692468316,-19.34754209691184
-69.70876254625355,0.21567446968090082,-0.6970876254625356,-17.64878711332428,-20.042103712905035
-69.70876254625355,0.21938478155791166,-0.6970876254625356,-18.2612449718093,-20.426296276728554
-69.70876254625355,0.2230950934349225,-0.6970876254625356,-18.884149267923377,-20.572202365500097
-69.70876254625355,0.22680540531193333,-0.6970876254625356,-19.517500001666512,-20.559384464976024
-69.70876254625355,0.23051571718894417,-0.6970876254625356,-20.161297173038708,-20.4513103953098
-69.70876254625355,0.23422602906595502,-0.6970876254625356,-20.815540782039964,-20.292426633563924
-69.70876254625355,0.23793634094296587,-0.6970876254625356,-21.480230828670276,-20.112580801180965
-69.70876254625355,0.2416466528199767,-0.6970876254625356,-22.155367312929645,-19.932139962499377
-69.70876254625355,0.24535696469698753,-0.6970876254625356,-22.840950234818074,-19.76591756390752
-69.70876254625355,0.24906727657399838,-0.6970876254625356,-23.536979594335566,-19.625876617524657
-69.70876254625355,0.2527775884510092,-0.6970876254625356,-24.243455391482115,-19.523005734942448
