t,V,s,V_norm,ICa_true,ICa_nn
0.0,-65.0,0.011607316445304631,-0.65,-0.02492501208636628,-0.06605056064056203
0.19569471624266144,-62.33732226884233,0.011680933358019297,-0.6233732226884233,-0.0248788708173391,-0.06028751074527283
0.3913894324853229,-59.82351391408865,0.011919834642664294,-0.5982351391408866,-0.025549766846649842,-0.05949083582867254
0.5870841487279843,-57.20291820174786,0.012368861480419114,-0.5720291820174787,-0.027110050173814106,-0.06341778468233483
0.7827788649706457,-54.081277083967734,0.013126301099113648,-0.5408127708396774,-0.02999416583848998,-0.07388550248854275
0.9784735812133072,-49.622982151564706,0.014457128083224908,-0.49622982151564704,-0.03545265395577496,-0.0974933955339441
1.1741682974559686,-41.37958754568341,0.017385200571737588,-0.41379587545683405,-0.0487762055392992,-0.15729308937736286
1.36986301369863,-19.2214322482065,0.029120656533418623,-0.19221432248206502,-0.11806153387899436,-0.22993858043207793
1.5655577299412915,32.922157451455405,0.06333647808024599,0.329221574514554,-0.3493135887575602,3.113523213115151
1.761252446183953,39.9454619642564,0.09925787244060594,0.399454619642564,-0.7887073348734159,3.309040709609867
1.9569471624266144,33.58311279451225,0.1337911910279715,0.33583112794512254,-1.54686943600986,-1.7388555049417485
2.152641878669276,24.807742261537157,0.16694328369157072,0.24807742261537158,-2.653013931824408,-7.02975087111961
2.3483365949119372,15.07322797959731,0.19864737396708862,0.1507322797959731,-4.140492181189156,-10.144602925303836
2.544031311154599,5.281058898480875,0.22861051261015233,0.052810588984808754,-5.995529229148538,-11.580686404807464
2.73972602739726,-4.103070112348072,0.2560084500649611,-0.04103070112348072,-8.133755735394463,-12.290368044440212
2.935420743639922,-12.911430885189196,0.27909923006086357,-0.12911430885189196,-10.353319355892289,-12.788568361112187
3.131115459882583,-21.15382146624407,0.2953832079207323,-0.21153821466244072,-12.315845886132317,-13.26172096450817
3.3268101761252447,-28.981414935930363,0.30311411406131045,-0.2898141493593036,-13.688139193728423,-13.779662259863718
3.522504892367906,-36.756021291216065,0.3028723269301222,-0.3675602129121607,-14.379487919302301,-14.363171468474558
3.7181996086105675,-45.13712895898865,0.296976331555438,-0.4513712895898865,-14.564259428697225,-15.009415302295205
3.9138943248532287,-54.704942029186,0.2879469231250479,-0.54704942029186,-14.485386075439362,-15.633054257844474
