seed,domain,n,a_hat,b_hat,Erev,r2_vs_true_on_domain,r2_vs_nn_on_domain,cond,a_sanity_true_current,b_sanity_true_current,objective,init_seed,data_seed,on_diagonal
1111,traj-train,154,2.763095637338657,-192.09709068246676,69.52241829294398,0.9884377433449323,0.9863659525328566,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,1111,1111,True
2222,traj-train,154,1.7395995081798428,-253.75349710503482,145.86891747890823,0.9990345792697348,0.985832811820025,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,1111,2222,False
3333,traj-train,154,2.3168212132744017,-219.66923171779217,94.81492592487533,0.9978954744799362,0.991997606114064,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,1111,3333,False
4444,traj-train,154,2.429866709511002,-214.98605337562455,88.4764800201281,0.9969015801326632,0.9998042568148479,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,1111,4444,False
5555,traj-train,154,1.8600715459186676,-245.31496119385167,131.88469106584472,0.9997385269328205,0.9908770663663965,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,1111,5555,False
1111,traj-train,154,2.7428927801922565,-194.76037128998203,71.00546280789392,0.9897970450883566,0.988387915555489,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,2222,1111,False
2222,traj-train,154,1.6284067397190312,-259.94359216529585,159.6306290221736,0.997989400263199,0.9840495282920282,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,2222,2222,True
3333,traj-train,154,2.477882470628672,-211.77805070382672,85.46735093940745,0.9960524603512374,0.9881410704243406,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,2222,3333,False
4444,traj-train,154,2.0376430039128737,-235.86738200718213,115.75500789600898,0.9998570336335448,0.9888026406083754,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,2222,4444,False
5555,traj-train,154,1.797405726391123,-248.6377700414862,138.33146650795837,0.9994800904550647,0.9946102396065367,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,2222,5555,False
1111,traj-train,154,2.5974478104968615,-202.24882660460946,77.86444285320275,0.9927983574181322,0.9840552575121706,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,3333,1111,False
2222,traj-train,154,1.2830328435691307,-281.5536732749978,219.44385499265474,0.9914494824739027,0.9668642842092948,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,3333,2222,False
3333,traj-train,154,2.1909412483358346,-227.85392879937177,103.99819208864773,0.9992521646929706,0.9932106880486037,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,3333,3333,True
4444,traj-train,154,1.4609317949727623,-271.6154585129225,185.91932864188675,0.9950488793483642,0.9882480440960257,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,3333,4444,False
5555,traj-train,154,1.552289992809314,-263.04206606857156,169.454204618379,0.9972365788523361,0.9967805018037444,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,3333,5555,False
1111,traj-train,154,3.1685861624493334,-168.78830693427076,53.269281086488284,0.9747144313474274,0.9861821901499401,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,4444,1111,False
2222,traj-train,154,1.4702725470456801,-268.7905352421207,182.81680888500574,0.9958358703995579,0.9573641123860622,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,4444,2222,False
3333,traj-train,154,2.1541299528030198,-230.81115965883262,107.14820587239599,0.999581003767356,0.9958884529065092,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,4444,3333,False
4444,traj-train,154,1.9181266568651545,-242.28236470171316,126.31197415173912,0.9998801246086125,0.9887319164081656,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,4444,4444,True
5555,traj-train,154,1.5355392633749145,-263.6878700515415,171.72330030297633,0.9970557703073438,0.9952468559928493,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,4444,5555,False
1111,traj-train,154,2.7490960594719525,-193.16320177221522,70.26426053999658,0.9889649733578049,0.9879887469328477,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,5555,1111,False
2222,traj-train,154,1.665733438931974,-259.08148041644307,155.5359785432173,0.9981953677951143,0.9550669578777802,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,5555,2222,False
3333,traj-train,154,2.3119367135623383,-219.81104671816675,95.07658467842391,0.9979151641872115,0.9938091905256887,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,5555,3333,False
4444,traj-train,154,1.895183719078054,-243.60025448514676,128.53648542509137,0.999840649625343,0.9857892185790308,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,5555,4444,False
