objective,init_seed,data_seed,on_diagonal,final_loss,bfgs_ok,forecast_V_rmse,forecast_ICa_rmse,train_V_rmse
sse,1111,1111,true,37.55155506110696,true,0.2191970340109573,0.9514209254399828,0.1308924323410108
chi2,1111,1111,true,917.5882153982058,true,0.11451922334514536,1.293524213184404,0.12983014609500054
chi2,2222,2222,true,935.4581281395948,true,0.2700176099038472,0.9787581179142849,0.12024372611359027
chi2,3333,3333,true,871.4946807520754,true,0.3884647914864777,0.7248731439162855,0.12263828050123798
chi2,4444,4444,true,870.0851141836075,true,0.46488040372165634,0.8170789545754813,0.07982765479156884
chi2,5555,5555,true,922.6718238207753,true,0.10498675314968064,0.5523495530817035,0.07197370910156133
sse,2222,2222,true,35.53372225893564,true,0.21544424347764016,1.4023914603156933,0.13694760291596145
sse,3333,3333,true,36.76693796254107,true,0.2837986139923001,0.9799359146624504,0.16526767496941963
sse,4444,4444,true,35.938022671004205,true,0.25693779058749106,1.2889383229691622,0.0909090243226356
sse,5555,5555,true,32.7835239730166,true,0.250818977338347,1.3226738715145867,0.2135069280067514
chi2,1111,2222,false,939.2551577151938,true,0.1734944357357053,0.8458667634716683,0.09355189343552862
chi2,1111,3333,false,872.046317105009,true,0.33714459705391975,0.8428963617585191,0.1272389543272347
chi2,1111,4444,false,876.5835993138727,true,0.21392014644827467,0.45442711576173406,0.05413789220929104
chi2,1111,5555,false,921.0640519605842,true,0.05721075930838078,0.7700938082117167,0.0832868152278608
chi2,2222,1111,false,918.7916722084194,true,0.11381628380184484,1.165818887851002,0.12585140460485122
chi2,2222,3333,false,868.2162531871253,true,0.4493634030041354,1.0802365626617623,0.13687411814826828
chi2,2222,4444,false,871.827350076887,true,0.4858815502464881,0.8066923778642441,0.07829182105519907
chi2,2222,5555,false,922.36561672415,true,0.0657464756366663,0.6523921507721386,0.07535490826087207
chi2,3333,1111,false,916.587760924068,true,0.27644311030704366,1.2182048468579203,0.13172754185041174
chi2,3333,2222,false,941.115876569702,true,0.09776239840934198,1.4387894786891862,0.11738163651370276
chi2,3333,4444,false,874.3189812049848,true,0.3366437452446038,1.0764301402947187,0.0764770656005529
chi2,3333,5555,false,922.5309048844,true,0.07550967436312413,0.5733989645021476,0.07155239066876658
chi2,4444,1111,false,923.7347118316652,true,0.21377202263895287,1.659500975675781,0.1406670346960284
chi2,4444,2222,false,938.8226549872378,true,0.22287792469146522,1.2930831506709497,0.11260758482862661
chi2,4444,3333,false,873.561088095889,true,0.3158032591857501,0.5784932472586448,0.1093126433816427
chi2,4444,5555,false,922.7913157825903,true,0.08139952923835138,0.6225506167702778,0.07662335693914124
chi2,5555,1111,false,919.8386907373751,true,0.14707341405225405,1.2485764048628987,0.12947642138262913
chi2,5555,2222,false,941.0135008113733,true,0.08409474116972444,1.0834075593335515,0.10875491050997536
chi2,5555,3333,false,871.592255434855,true,0.36510962880613174,0.7607427707097939,0.12117617124855411
chi2,5555,4444,false,869.605410879304,true,0.4598699413304276,0.9163346075016273,0.07817132940963344
sse,1111,2222,false,35.743581093128796,true,0.34047532439154204,1.7875698974983774,0.14701752915229552
sse,1111,3333,false,36.72927711049932,true,0.15370586928415816,0.9719067871210376,0.15766725721873096
sse,1111,4444,false,36.60919558057715,true,0.3450597137172909,0.2973233461557658,0.08359688334830086
sse,1111,5555,false,35.3319466489216,true,0.793148405255792,1.5360581555181834,0.18340331388732906
sse,2222,1111,false,34.97290077165133,true,0.1706284022759451,0.9866643881899335,0.16522195532028114
sse,2222,3333,false,36.625850578539875,true,0.2198577312522587,1.3079103492739925,0.1610539384130526
sse,2222,4444,false,35.41729344375764,true,0.5723167981257622,2.04864690439634,0.11806175766408324
sse,2222,5555,false,32.94887284915388,true,0.7019208462219457,1.6207740332733775,0.2159003317389625
sse,3333,1111,false,35.520075697940925,true,0.21029278274356444,1.1138117997703971,0.16167711483078642
sse,3333,2222,false,36.311684579043245,true,0.17928314152009114,0.6573938099496416,0.10750702636052183
sse,3333,4444,false,35.42276940754643,true,0.30946646947049816,2.0918991749666906,0.11624919517675002
sse,3333,5555,false,33.766045603106,true,0.5382140401731719,1.8171032260215354,0.20568946874846458
sse,4444,1111,false,37.49701458600735,true,0.1675530695920605,0.7398078744256108,0.13601409801178765
sse,4444,2222,false,35.48264385248875,true,0.18740280747357302,1.2956945183903812,0.13537609412465437
sse,4444,3333,false,37.50560367892763,true,0.39043910052937925,0.9462066979441538,0.15636627897119612
sse,4444,5555,false,34.040241646568916,true,0.40121185500618434,1.1813658833815908,0.1940477731473386
sse,5555,1111,false,37.26500331360911,true,0.098647813946899,0.6574009951065839,0.1276846305809885
sse,5555,2222,false,36.28251011939625,true,0.09473102661122607,1.4791337170796142,0.11903350033234829
sse,5555,3333,false,36.99337200913745,true,0.2647600509239655,1.1479483264551655,0.1614901485340717
sse,5555,4444,false,35.96345766850334,true,0.3073207950364365,1.018790933785083,0.08827958874313509
